KM	Yarrowia lipolytica	-999	more	*Michaelis-Menten kinetics
KM	Acinetobacter lwoffii	0.06	succinyl-CoA	*
KM	Sus scrofa	0.1	succinyl-CoA	*
KM	Sus scrofa	4.2	dihydrolipoamide	*
MW	Escherichia coli	37000	*	*3 * 37000, E2o is normally a 24-mer, found as a trimer, when E2o is expressed with a C-terminal [His]6 tag, SDS-PAGE
MW	Escherichia coli	40000	*	*24 * 40000
MW	Sus scrofa	41000	*	*24 * 41000, sedimentation equilibrium
MW	Sus scrofa	41530	*	*amino acid sequence
MW	Brucella melitensis	45000	*	*SDS-PAGE
MW	Sus scrofa	48000	*	*24 * 48000, SDS-PAGE
MW	Sus scrofa	48000	*	*24 * 48000, SDS-PAGE
MW	Coxiella burnetii	50000	*	*SDS-PAGE
MW	Homo sapiens	50000	*	*x * 50000, SDS-PAGE
MW	Rattus norvegicus	50000	*	*x * 50000, SDS-PAGE
MW	Komagataeibacter xylinus	75000	*	*12 * 75000, E2, gel filtration, SDS-PAGE
MW	Komagataeibacter xylinus	900000	*	*analytical ultracentrifugation
MW	Sus scrofa	958000	*	*analytical ultracentrifugation
MW	Sus scrofa	992000	*	*different preparations of the enzyme, analytical ultracentrifugation
MW	Escherichia coli	1000000	*	*
MW	Sus scrofa	1000000	*	*
MW	Escherichia coli	1000000	*	*sucrose density gradient centrifugation, sedimentation equilibrium
MW	Sus scrofa	1000000	*	*sedimentation equlibrium
MW	Escherichia coli	1000000	*	*
MW	Sus scrofa	1000000	*	*gel filtration, FPLC
PATH	*	2-oxoglutarate decarboxylation to succinyl-CoA	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Citrate cycle (TCA cycle)	*	*
PATH	*	citric acid cycle	*	*
PATH	*	Lysine degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Tryptophan metabolism	*	*
PATH	*	vitamin B1 metabolism	*	*
