KCAT	Saccharomyces cerevisiae	0.0667	L-Arginyl-tRNA	*
KM	Sus scrofa	0.0005	arginyl-tRNA	*
KM	Sus scrofa	0.03	N-L-aspartyl-N'-dansylamido-1,4-butanediamine	*
MW	Sus scrofa	35000	*	*x * 35000, SDS-PAGE
MW	Saccharomyces cerevisiae	58000	*	*SDS-PAGE
MW	Mus musculus	59000	*	*x * 59000, SDS-PAGE
MW	Mus musculus	60000	*	*determined by SDS-PAGE and Western Blot analysis
MW	Mus musculus	60000	*	*x * 60000, isoform ATE1-2, SDS-PAGE
MW	Physcomitrella patens	77760	*	*x * 77760, calculated from amino acid sequence
MW	Oryctolagus cuniculus	360000	*	*multienzyme complex of several molecules of arginyl-tRNA synthetase and arginyl-tRNA-protein transferase, gel filtration
PATH	*	Arg/N-end rule pathway (eukaryotic)	*	*
SA	Rattus norvegicus	-999	*	*specific activity depends on type and age of tissue, picomolar range
SA	Oryctolagus cuniculus	0.00084	*	*
SA	Oryctolagus cuniculus	0.0047	*	*
SA	Oryctolagus cuniculus	0.114	*	*
SA	Oryctolagus cuniculus	0.114	*	*
SA	Oryctolagus cuniculus	1.3	*	*
SA	Sus scrofa	2.3	*	*after addition of inhibitors during purification
SA	Sus scrofa	7.6	*	*
