KM	Saccharomyces cerevisiae	-999	more	*Km value depends on chain length and alpha-saturation of the acceptor substrate
KM	Candida albicans	0.075	biotin-Tyr-Thr-Ala-Val-NH2	*
KM	Candida albicans	0.1	biotin-Tyr-Leu-Ala-Val-NH2	*
KM	Candida albicans	0.25	Ac-Tyr-Ala-Thr-Ala-Val-NH2	*
KM	Saccharomyces cerevisiae	0.4	dolichyl phosphate D-mannose	*
KM	Homo sapiens	0.63	synthetic peptide based on a mucin-like domain in alpha-dystroglycan	*25&deg;C, pH 8.0
KM	Homo sapiens	0.73	synthetic peptide based on a mucin-like domain in alpha-dystroglycan	*25&deg;C, pH 8.0
KM	Candida albicans	0.85	biotin-Tyr-Pro-Thr-Ala-Val-NH2	*
KM	Saccharomyces cerevisiae	1	Tyr-Asn-Pro-Thr-Ser-Val	*
KM	Saccharomyces cerevisiae	2	Ac-Tyr-Ala-Thr-Ala-Val-NH2	*PMT1
KM	Candida albicans	2.2	Tyr-Ala-Thr-Ala-Val	*
KM	Candida albicans	2.5	Tyr-Leu-Thr-Ala-Val	*
KM	Homo sapiens	2.96	synthetic peptide based on a mucin-like domain in alpha-dystroglycan	*25&deg;C, pH 8.0
KM	Homo sapiens	2.98	synthetic peptide based on a mucin-like domain in alpha-dystroglycan	*25&deg;C, pH 8.0
KM	Saccharomyces cerevisiae	3.3	Tyr-Asn-Pro-Thr-Ser-Val	*
KM	Candida albicans	4.3	Ac-Tyr-Asn-Pro-Thr-Ser-Val-NH2	*
KM	Candida albicans	6.7	Ac-Ala-Thr-Ala-NH2	*
KM	Candida albicans	7.3	Tyr-Pro-Thr-Ala-Val	*
KM	Homo sapiens	9.7	synthetic peptide based on a mucin-like domain in alpha-dystroglycan	*25&deg;C, pH 8.0
KM	Saccharomyces cerevisiae	10	RSPSPSTQ	*additional enzyme form
KM	Saccharomyces cerevisiae	15	Ac-Tyr-Ala-Thr-Ala-Val-NH2	*additional enzyme form
KM	Saccharomyces cerevisiae	20	RSPSPSTQ	*PMT1
MW	Homo sapiens	-999	*	*Walker-Warburg syndrome p.del77-93 mutant enzyme is not detectable, Western blot analysis, SDS-PAGE with antibody staining
MW	Homo sapiens	70000	*	*x * 70000, SDS-PAGE
MW	Homo sapiens	71000	*	*limb girdle muscular dystrophy deletion mutant p.A589VfsX38 enzyme, Western blot analysis, SDS-PAGE with antibody staining
MW	Homo sapiens	73000	*	*rough estimate from SDS-PAGE figure, fully glycosylated enzyme, 2-3 kDa lower than wild-type corresponds to lack of a single N-glycan chain
MW	Saccharomyces cerevisiae	78000	*	*x * 78000, PMT2, SDS-PAGE
MW	Homo sapiens	85000	*	*limb girdle muscular dystrophy mutant L171A enzyme, Western blot analysis, SDS-PAGE with antibody staining; wild-type enzyme, Western blot analysis, SDS-PAGE with antibody staining
MW	Homo sapiens	88000	*	*x * 88000, Pmt2p
MW	Aspergillus nidulans	88200	*	*AnPmtC, calculated from amino acid sequence
MW	Saccharomyces cerevisiae	92000	*	*x * 92000, PMT1, SDS-PAGE; x * 92000, SDS-PAGE
MW	Saccharomyces cerevisiae	92000	*	*x * 92000, PMT1, SDS-PAGE
MW	Aspergillus nidulans	103300	*	*AnPmtB, calculated from amino acid sequence
PATH	*	Mannose type O-glycan biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Other types of O-glycan biosynthesis	*	*
PATH	*	protein O-mannosylation I (yeast)	*	*
PATH	*	protein O-mannosylation II (mammals, core M1 and core M2)	*	*
PATH	*	protein O-mannosylation III (mammals, core M3)	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*specific activity of the additional enzyme form is 7fold higher than that of PMT1, substrate Ac-YNPTSV-NH2
SA	Saccharomyces cerevisiae	-999	*	*
SA	Rattus norvegicus	-999	*	*
SA	Saccharomyces cerevisiae	-999	*	*wild-type and deletion mutants
SA	Saccharomyces cerevisiae	-999	*	*assay development on microtiter plates
SA	Candida albicans	0.0000012	*	*substrate YNPTSV
SA	Saccharomyces cerevisiae	0.0000677	*	*partially purified enzyme
SA	Saccharomyces cerevisiae	0.00057	*	*partially purified enzyme
SA	Saccharomyces cerevisiae	0.0035	*	*partially purified enzyme
