KM	Oryctolagus cuniculus	0.13	methyl 9-[[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl-(1-2)-6-deoxy-alpha-D-mannopyranosyl-(1-3)-[6-deoxy-alpha-D-mannopyranosyl-(1-6)]-beta-D-mannopyranosyl]oxy]nonanoate	*
KM	Sus scrofa	0.9	beta-D-galactosyl-1,3-(N-acetyl-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-o-nitrophenyl	*
KM	Sus scrofa	1.2	beta-D-galactosyl-1,3-(N-acetyl-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-benzyl	*
KM	Sus scrofa	1.6	UDP-N-acetyl-D-glucosamine	*
PATH	*	mucin core 1 and core 2 O-glycosylation	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	0.0000007	*	*CaCo-2, colonic adenocarcinoma, cells differentiated to enterocytes
SA	Homo sapiens	0.0000015	*	*undifferentiated CaCo-2, colonic adenocarcinoma, cells
SA	Homo sapiens	0.0000033	*	*below, EBV immortilized B-cell line, from normal patients and such with the Wiskott-Aldrich syndrome
SA	Homo sapiens	0.000006	*	*normal granulocytes
SA	Homo sapiens	0.000032	*	*
