KM	Candida tropicalis	-999	more	*Michaelis-Menten kinetics
KM	Kluyveromyces bulgaricus	0.0133	6-O-dansyl-N-acetylglucosamine	*chitin synthetase I
KM	Kluyveromyces bulgaricus	0.2	6-O-dansyl-N-acetylglucosamine	*chitin synthetase III
KM	Kluyveromyces bulgaricus	0.5	6-O-dansyl N-acetylglucosamine	*chitin synthetase II
KM	Saccharomyces cerevisiae	0.5	UDP-GlcNAc	*chitin synthase 1
KM	Saccharomyces cerevisiae	0.6	UDP-GlcNAc	*chitin synthase 2
KM	Phycomyces blakesleeanus	0.6	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	0.7	UDP-GlcNAc	*
KM	Absidia glauca	0.7	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	0.7	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	0.8	UDP-GlcNAc	*Chs1
KM	Saccharomyces cerevisiae	0.8	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	0.9	UDP-GlcNAc	*Chs1
KM	Saccharomyces cerevisiae	1	UDP-GlcNAc	*wild-type enzyme
KM	Saccharomyces cerevisiae	1.5	UDP-N-acetylglucosamine	*
KM	Aspergillus nidulans	1.6	UDP-GlcNAc	*
KM	Umbelopsis vinacea	1.8	UDP-GlcNAc	*
KM	Mortierella pusilla	1.8	UDP-GlcNAc	*
KM	Neocallimastix frontalis	2	UDP-GlcNAc	*
KM	Botrytis cinerea	2	UDP-GlcNAc	*
KM	Mortierella candelabrum	2	UDP-GlcNAc	*
KM	Aspergillus nidulans	2.2	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	2.3	chitobiose	*
KM	Aspergillus flavus	2.5	UDP-GlcNAc	*
KM	Saccharomyces cerevisiae	2.6	UDP-N-acetyl-D-glucosamine	*reaction with chitobiose
KM	Saccharomyces cerevisiae	3.1	N-acetyl-D-glucosamine	*reaction with UDP-N-acetyl-D-glucosamine
KM	Aspergillus nidulans	3.1	UDP-N-acetylglucosamine	*
KM	Candida tropicalis	3.86	UDP-N-acetyl-alpha-D-glucosamine	*pH 7.5, 37&deg;C
MW	Atrina rigida	-999	*	*size analysis of proteins purified at pH 4.7, pH 6.5, and pH 7.5 by using gel filtration, native PAGE, and dynamic light scattering
