KCAT	Arabidopsis thaliana	0.00018	tamarind xyloglucan	*recombinant TCH4 protein, with XLLG-ol as acceptor
KCAT	Arabidopsis thaliana	0.00031	pea xyloglucan	*recombinant TCH4 protein, with XLLG-ol as acceptor
KCAT	Hordeum vulgare	0.0024	reduced xyloglucan-derived heptasaccharide	*purified isozyme XET5, at 30&deg;C in 100 mM sodium succinate buffer, pH 6.0, containing 5 mM CaCl2
KCAT	Hordeum vulgare	0.005	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.005	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.006	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.007	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.0089	reduced xyloglucan-derived heptasaccharide	*recombinant isozyme XET6, at 30&deg;C in 100 mM sodium succinate buffer, pH 6.0, containing 5 mM CaCl2
KCAT	Hordeum vulgare	0.017	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.021	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.058	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.12	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Hordeum vulgare	0.139	Glc8-based xyloglucan oligosaccharide	*recombinant isozyme XET6, at 30&deg;C in 100 mM sodium succinate buffer, pH 6.0, containing 5 mM CaCl2
KCAT	Hordeum vulgare	0.17	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KCAT	Populus tremula x Populus tremuloides	0.45	[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)Glc	*
KCAT	Populus tremula x Populus tremuloides	4.8	Gal(beta1-4)Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)[Xyl(alpha1-6)]Glc(beta1-4)Glc	*
KM	Populus tremula x Populus tremuloides	1.4	xyloglucan	*pH 5.5, 25&Acirc;&deg;C, recombinant N93S mutant enzyme
KM	Populus tremula x Populus tremuloides	2.2	xyloglucan	*pH 5.5, 25&Acirc;&deg;C, recombinant wild-type enzyme
KM	Arabidopsis thaliana	0.005	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme XTR9
KM	Vigna radiata var. radiata	0.016	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme M55a
KM	Arabidopsis thaliana	0.017	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme TCH4
KM	Vigna radiata var. radiata	0.028	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme M45
KM	Arabidopsis thaliana	0.03	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme EXGT
KM	Vigna radiata var. radiata	0.031	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzymes M35a and M35b
KM	Vigna radiata var. radiata	0.032	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme M55b
KM	Arabidopsis thaliana	0.04	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme Meri-5
KM	Brassica oleracea	0.071	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzymes C45a and C45b
KM	Arabidopsis thaliana	0.073	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*acceptor XLLG-ol, recombinant TCH4 protein
KM	Arabidopsis thaliana	0.073	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*recombinant At-XTH22
KM	Brassica oleracea	0.13	Xylalpha(1-6)Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)(Galbeta(1-2)Xylalpha(1-6))Glcbeta(1-4)Glc-ol	*isoenzyme C30
KM	Hordeum vulgare	0.005	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0103	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0106	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0086	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0113	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0242	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.0053	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET6, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.039	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET3, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Hordeum vulgare	0.04	[Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-[Galp(beta1,2)-Xylp(alpha1,6)]-Glcp(beta1,4)-Glcp	*isoform XET4, using xyloglycan as donor substrate, at 30&Acirc;&deg;C, in 50 mM ammonium acetate buffer pH 6.0
KM	Pisum sativum	0.05	Xyl(1-6)Glc(1-4)(Xyl(1-6))Glc(1-4)(Fuc-Gal-Xyl(1-6))Glc(1-4)Glc	*xyloglucan-derived nonasaccharide
