KM	Homo sapiens	0.263	UDP-alpha-D-glucuronate	*pH 6.2, 37&Acirc;&deg;C, CSS2
KM	Bos taurus	0.051	UDP-glucuronic acid	*
KM	Homo sapiens	0.0824	UDP-glucuronic acid	*
KM	Homo sapiens	0.027	C11-oligosaccharide of chondroitin sulfate A	*pH 6.2, 37&Acirc;&deg;C, CSS2
KM	Homo sapiens	0.0653	chondroitin sulfate undecasaccharide	*
PATH	*	chondroitin biosynthesis	*	*
PATH	*	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	*	*
PATH	*	Metabolic pathways	*	*
SA	Bos taurus	-999	*	*highest at the middle prenatal stage in the bovine and chicken sera, highest at the late prenatal stage in the rat serum
SA	Gallus gallus gallus	-999	*	*highest at the middle prenatal stage in the bovine and chicken sera, highest at the late prenatal stage in the rat serum
SA	Homo sapiens	-999	*	*highest at the middle prenatal stage in the bovine and chicken sera, highest at the late prenatal stage in the rat serum
SA	Rattus norvegicus	-999	*	*highest at the middle prenatal stage in the bovine and chicken sera, highest at the late prenatal stage in the rat serum
SA	Bos taurus	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	-999	*	*
SA	Homo sapiens	0.00000004	*	*glucuronyltransferase of recombinant wild-type enzyme secreted from COS-1 cells
SA	Mus musculus	0.0000006	*	*recombinant CSS2B variant in COS-7 cells, pH 6.2, 37&deg;C
SA	Mus musculus	0.0000024	*	*recombinant CSS2A variant in COS-7 cells, pH 6.2, 37&deg;C
SA	Homo sapiens	0.00000314	*	*glucuronyltransferase of recombinant mutant fusion protein consisting of enzyme and chondroitin polymerizing factor secreted from COS-1 cells
