KCAT	Ochromonas danica	400	laminaritriose	*with phosphate, pH 7.5, 30&Acirc;&deg;C
KM	Acacia verek	0.25	glucose	*
KM	Acacia verek	0.34	laminaribiose	*phosphorolytic reaction
KM	Acacia verek	0.47	Laminarin	*phosphorolytic reaction
KM	Ochromonas malhamensis	1	Laminarin	*
KM	Acacia verek	1.45	laminaribiose	*reaction with glucose 1-phosphate
KM	Acacia verek	1.7	Laminarin	*reaction with glucose 1-phosphate
KM	Ochromonas danica	4.1	laminaritriose	*with phosphate, pH 7.5, 30&deg;C
KM	Ochromonas danica	4.4	phosphate	*with laminaritriose, pH 7.5, 30&deg;C
KM	Ochromonas malhamensis	12	glucose 1-phosphate	*
KM	Ochromonas malhamensis	25	phosphate	*
MW	Ochromonas danica	113000	*	*x * 113000, x * 118000, x * 124000, and/or heterodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated; x * 113000, x * 118000, x * 124000, and/or homodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated
MW	Ochromonas danica	118000	*	*x * 113000, x * 118000, x * 124000, and/or heterodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated; x * 113000, x * 118000, x * 124000, and/or homodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated
MW	Ochromonas danica	124000	*	*x * 113000, x * 118000, x * 124000, and/or heterodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated; x * 113000, x * 118000, x * 124000, and/or homodimer, native enzyme 250000 Da, SDS-PAGE, the three bands can not be separated
MW	Ochromonas danica	250000	*	*by gel filtration, indicating a homodimer and/or a heterodimer
SA	Ochromonas malhamensis	10.92	*	*
SA	Ochromonas danica	26.5	*	*purified enzyme, 30&deg;C, pH 7.5
