KCAT	Methanocaldococcus jannaschii	0.23	5-phospho-alpha-D-ribose 1-diphosphate	*pH 4.8, 70&deg;C
KM	Methanocaldococcus jannaschii	1.5	5-phospho-alpha-D-ribose 1-diphosphate	*pH 4.8, 70&Acirc;&deg;C
KM	Methanosarcina thermophila	3.6	5-phospho-alpha-D-ribose 1-diphosphate	*pH 4.8, 50&Acirc;&deg;C
KM	Methanosarcina thermophila	0.058	4-Aminobenzoate	*pH 4.8, 50&Acirc;&deg;C
KM	Methanocaldococcus jannaschii	0.15	4-Aminobenzoate	*pH 4.8, 70&Acirc;&deg;C
MW	Methanosarcina thermophila	32600	*	*2 * 32600, SDS-PAGE
MW	Archaeoglobus fulgidus	35500	*	*2 * 35500, SDS-PAGE
MW	Methanocaldococcus jannaschii	36200	*	*2 * 36200, SDS-PAGE
MW	Archaeoglobus fulgidus	57000	*	*gel filtration
MW	Methanosarcina thermophila	64000	*	*1 * 64000, SDS-PAGE
MW	Methanosarcina thermophila	64500	*	*gel filtration
MW	Methanosarcina thermophila	65000	*	*gel filtration
MW	Methanocaldococcus jannaschii	70000	*	*gel filtration
PATH	*	Folate biosynthesis	*	*
PATH	*	tetrahydrofolate metabolism	*	*
PATH	*	tetrahydromethanopterin biosynthesis	*	*
SA	Methanosarcina thermophila	0.03	*	*pH 4.8, 50&Acirc;&deg;C
SA	Methanosarcina thermophila	0.075	*	*50&Acirc;&deg;C, pH 5.0
SA	Methanocaldococcus jannaschii	0.248	*	*pH 4.8, 70&Acirc;&deg;C
SA	Archaeoglobus fulgidus	0.29	*	*50&Acirc;&deg;C, pH 5.0
