KCAT	Bacillus subtilis	-999	more	*
KM	Escherichia coli	0.0004	2-(4-methyl-1,3-thiazol-5-yl)ethyl phosphate	*
KM	Escherichia coli	0.0004	2-(4-methyl-1,3-thiazol-5-yl)ethyl phosphate	*
KM	Escherichia coli	0.0007	2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	*wild type enzyme, in buffer containing 50 mM phosphate and 10 mM MgSO4, at pH 8.0 and 37&deg;C
KM	Escherichia coli	0.00085	2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	*
KM	Escherichia coli	0.00085	2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	*
KM	Saccharomyces cerevisiae	0.001	2-methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	*pH 9.2, 37&deg;C
KM	Escherichia coli	0.0012	4-methyl-5-beta-hydroxyethylthiazole phosphate	*wild type enzyme, in buffer containing 50 mM phosphate and 10 mM MgSO4, at pH 8.0 and 37&deg;C
KM	Saccharomyces cerevisiae	0.007	2-(4-methyl-1,3-thiazol-5-yl)ethyl phosphate	*pH 9.2, 37&deg;C
KM	Zea mays	0.0085	4-methyl-5-(2-hydroxyethyl)thiazole phosphate	*
KM	Zea mays	0.0128	4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphate	*37&deg;C, pH 8.0
MW	Escherichia coli	17000	*	*gel filtration
MW	Escherichia coli	17000	*	*gel filtration
MW	Mycobacterium tuberculosis	29000	*	*x * 29000, SDS-PAGE
MW	Zea mays	55000	*	*2 * 57800, calculated, 2 * 55000, SDS-PAGE
MW	Zea mays	57800	*	*2 * 57800, calculated, 2 * 55000, SDS-PAGE
MW	Saccharomyces cerevisiae	58058	*	*x * 58058, calculation from nucleotide sequence
MW	Saccharomyces cerevisiae	60000	*	*8 * 60000, SDS-PAGE, hydroxyethylthiazole kinase is a bifunctional enzyme with thiamine-phosphate pyrophosphorylase activity
MW	Saccharomyces cerevisiae	60000	*	*8 * 60000 Da
MW	Zea mays	95000	*	*gel filtration
MW	Saccharomyces cerevisiae	470000	*	*hydroxyethylthiazole kinase is a bifunctional enzyme with thiamine-phosphate pyrophosphorylase activity, gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	thiamine diphosphate biosynthesis I (E. coli)	*	*
PATH	*	thiamine diphosphate biosynthesis II (Bacillus)	*	*
PATH	*	thiamine diphosphate biosynthesis III (Staphylococcus)	*	*
PATH	*	thiamine diphosphate biosynthesis IV (eukaryotes)	*	*
PATH	*	thiamine formation from pyrithiamine and oxythiamine (yeast)	*	*
PATH	*	Thiamine metabolism	*	*
PATH	*	thiamine salvage II	*	*
PATH	*	thiamine salvage IV (yeast)	*	*
PATH	*	vitamin B1 metabolism	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Pyrobaculum calidifontis	-999	*	*specific activity of 2.1 nmol thiamin phosphate formed/mg min
SA	Zea mays	0.05	*	*37&Acirc;&deg;C, pH 8.0, presence of ATP
SA	Escherichia coli	0.065	*	*
SA	Escherichia coli	0.065	*	*
SA	Saccharomyces cerevisiae	0.269	*	*
SA	Zea mays	0.52	*	*37&Acirc;&deg;C, pH 8.0
SA	Escherichia coli	0.7	*	*wild type enzyme, in buffer containing 50 mM phosphate and 10 mM MgSO4, at pH 8.0 and 37&Acirc;&deg;C
SA	Zea mays	2.46	*	*37&Acirc;&deg;C, pH 8.0, presence of Mg2+
