KM	Capsicum sp.	0.001	geranyl diphosphate	*pH 7.6
KM	Capsicum annuum	0.003	geranylgeranyl diphosphate	*pH 7.6, 30&Acirc;&deg;C
KM	Solanum lycopersicum	0.005	geranylgeranyl diphosphate	*pH 8.0, 28&Acirc;&deg;C, enzyme from chloroplast
KM	Solanum lycopersicum	0.01	geranylgeranyl diphosphate	*pH 8.0, 28&Acirc;&deg;C, enzyme from chromoplast
KM	Solanum lycopersicum	0.026	geranylgeranyl diphosphate	*
KM	Solanum lycopersicum	0.0374	geranylgeranyl diphosphate	*in 400 mM Tris (pH 6.5), 10 mM sodium ascorbate, 5 mM MgCl2, 0.5 mM MnCl2, 3 mM ATP and 0.02 mM FAD
KM	Capsicum annuum	0.0027	prephytoene diphosphate	*pH 7.6, 30&Acirc;&deg;C
MW	Citrus sp.	28000	*	*x * 28000, about, recombinant enzyme, SDS-PAGE
MW	Pantoea agglomerans	34500	*	*x * 34500, recombinant enzyme, SDS-PAGE
MW	Synechococcus sp.	35800	*	*x * 35800, calculation from nucleotide sequence
MW	Zea mays	41900	*	*x * 47300, protein including transit peptide, x * 41900, mature form, calculated
MW	Solanum lycopersicum	43000	*	*native PAGE
MW	Oryza sativa	43000	*	*x * 43000, SDS-PAGE, mature protein
MW	Salicornia europaea	47200	*	*x * 47200, calculated
MW	Dunaliella salina	47300	*	*calculated from sequence of cDNA
MW	Zea mays	47300	*	*x * 47300, protein including transit peptide, x * 41900, mature form, calculated
MW	Capsicum annuum	47500	*	*1 * 47500, SDS-PAGE
MW	Citrus sinensis	49500	*	*calculated from sequence of cDNA
MW	Citrus sinensis	50000	*	*SDS-PAGE
MW	Solanum lycopersicum	200000	*	*gel filtration
MW	Solanum lycopersicum	200000	*	*gel filtration
MW	Solanum lycopersicum	200000	*	*phytoene synthesizing enzyme system, gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Carotenoid biosynthesis	*	*
PATH	*	carotenoid biosynthesis	*	*
PATH	*	isoprenoid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Capsicum annuum	0.067	*	*
