KCAT	Streptomyces avermitilis	24	prephenate	*pH 8.0, 30&deg;C
KM	Escherichia coli	1.21	L-glutamate	*30&Acirc;&deg;C, pH 8.0
KM	Escherichia coli	5.2	L-glutamate	*pH 7.4
KM	Streptomyces avermitilis	0.021	prephenate	*pH 8.0, 30&Acirc;&deg;C
KM	Escherichia coli	0.18	N-Succinyl-2-amino-6-oxoheptanedioate	*30&Acirc;&deg;C, pH 8.0
KM	Escherichia coli	0.5	N-Succinyl-2-amino-6-oxoheptanedioate	*pH 7.4
MW	Escherichia coli	39900	*	*2 * 39900, SDS-PAGE, MALDI-TOF mass spectra
MW	Escherichia coli	82000	*	*gel filtration
PATH	*	L-lysine biosynthesis I	*	*
PATH	*	Lysine biosynthesis	*	*
PATH	*	lysine metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Escherichia coli	5.33	*	*pH 7.4
