KM	Cupriavidus necator	-999	more	*kinetics
KM	Rhodobacter sphaeroides	0.048	D-ribulose 5-phosphate	*R186Q mutant, pH 8, 30&deg;C
KM	Triticum aestivum	0.05	D-ribulose 5-phosphate	*pH 7.8 and pH 6.8, 25&deg;C
KM	Chlamydomonas reinhardtii	0.056	D-ribulose 5-phosphate	*pH 7.8, 25&deg;C
KM	Chlamydomonas reinhardtii	0.062	ATP	*pH 7.8, 25&deg;C
KM	Triticum aestivum	0.07	ATP	*pH 7.8 and pH 6.8, 25&deg;C
KM	Trieres chinensis	0.084	ATP	*pH 8
KM	Synechococcus sp.	0.09	ATP	*pH 8, 25&deg;C
KM	Rhodobacter sphaeroides	0.096	D-ribulose 5-phosphate	*wild-type enzyme, pH 8, 30&deg;C
KM	Rhodobacter sphaeroides	0.096	D-ribulose 5-phosphate	*wild-type enzyme, pH 8, 30&deg;C
KM	Rhodobacter sphaeroides	0.096	D-ribulose 5-phosphate	*wild-type enzyme, pH 8, 30&deg;C
KM	Brassica sp.	0.1	ATP	*
KM	Rhodobacter sphaeroides	0.1	D-ribulose 5-phosphate	*wild type enzyme, at 30&deg;C, in 100 mM Tris-HCl (pH 8.2) containing 10 mM MgCl2, 0.5 mM dithiothreitol, 5 mM ATP, 0.2 mM phosphoenolpyruvate, 0.2 mM NADH, 2 units of pyruvate kinase, 2 units of lactic dehydrogenase, and 1 mM D-ribulose 5-phosphate
KM	Trieres chinensis	0.118	D-ribulose 5-phosphate	*pH 8
KM	Heterosigma akashiwo	0.208	ATP	*pH 8, 25&deg;C
KM	Spinacia oleracea	0.222	D-ribulose 5-phosphate	*pH 7.9, 20&deg;C
KM	Heterosigma akashiwo	0.226	D-ribulose 5-phosphate	*pH 8, 25&deg;C
KM	Halothiobacillus neapolitanus	0.24	D-ribulose 5-phosphate	*30&deg;C
KM	Synechococcus sp.	0.27	D-ribulose 5-phosphate	*pH 8, 25&deg;C
KM	Brassica sp.	0.29	D-ribulose 5-phosphate	*
KM	Anabaena cylindrica	0.29	D-ribulose 5-phosphate	*pH 7.5, 30&deg;C
KM	Rhodobacter sphaeroides	0.55	D-ribulose 5-phosphate	*R187Q mutant, pH 8, 30&deg;C
KM	Rhodobacter sphaeroides	0.586	D-ribulose 5-phosphate	*S14A mutant, pH 8, 30&deg;C
KM	Spinacia oleracea	0.625	ATP	*pH 7.9, 20&deg;C
KM	Rhodobacter sphaeroides	0.662	D-ribulose 5-phosphate	*T20A mutant, pH 8, 30&deg;C
KM	Halothiobacillus neapolitanus	0.71	ATP	*30&deg;C
KM	Rhodobacter sphaeroides	0.78	D-ribulose 5-phosphate	*mutant enzyme H100A, at 30&deg;C, in 100 mM Tris-HCl (pH 8.2) containing 10 mM MgCl2, 0.5 mM dithiothreitol, 5 mM ATP, 0.2 mM phosphoenolpyruvate, 0.2 mM NADH, 2 units of pyruvate kinase, 2 units of lactic dehydrogenase, and 1 mM D-ribulose 5-phosphate
KM	Rhodobacter sphaeroides	1.35	D-ribulose 5-phosphate	*mutant enzyme H100Q, at 30&deg;C, in 100 mM Tris-HCl (pH 8.2) containing 10 mM MgCl2, 0.5 mM dithiothreitol, 5 mM ATP, 0.2 mM phosphoenolpyruvate, 0.2 mM NADH, 2 units of pyruvate kinase, 2 units of lactic dehydrogenase, and 1 mM D-ribulose 5-phosphate
KM	Rhodobacter sphaeroides	1.37	D-ribulose 5-phosphate	*mutant enzyme H100N, at 30&deg;C, in 100 mM Tris-HCl (pH 8.2) containing 10 mM MgCl2, 0.5 mM dithiothreitol, 5 mM ATP, 0.2 mM phosphoenolpyruvate, 0.2 mM NADH, 2 units of pyruvate kinase, 2 units of lactic dehydrogenase, and 1 mM D-ribulose 5-phosphate
KM	Anabaena cylindrica	1.42	ATP	*pH 7.5, 30&deg;C
