KM	Klebsiella aerogenes	0.83	ATP	*pH 7.7, 27&Acirc;&deg;C
KM	Klebsiella aerogenes	0.4	D-ribulose	*pH 7.8, 28&Acirc;&deg;C
KM	Klebsiella aerogenes	0.92	D-ribulose	*pH 7.7, 37&Acirc;&deg;C
KM	Klebsiella aerogenes	220	ribitol	*pH 7.8, 28&Acirc;&deg;C
KM	Klebsiella aerogenes	140	D-arabitol	*pH 7.8, 28&Acirc;&deg;C
KM	Klebsiella aerogenes	-999	more	*kinetic study at 28&Acirc;&deg;C
MW	Klebsiella aerogenes	59000	*	*2 * 59000, SDS-PAGE
MW	Klebsiella aerogenes	60000	*	*2 * 60000, recombinant enzyme expressed in Escherichia coli strain NC629, SDS-PAGE
MW	Klebsiella aerogenes	112000	*	*recombinant enzyme expressed in E. coli strain NC629, gel filtration
MW	Klebsiella aerogenes	116000	*	*gel filtration
PATH	*	D-arabinose degradation II	*	*
PATH	*	degradation of pentoses	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Pentose and glucuronate interconversions	*	*
PATH	*	ribitol degradation	*	*
SA	Klebsiella aerogenes	-999	*	*
SA	Klebsiella aerogenes	84	*	*
SA	Klebsiella aerogenes	152	*	*
