KM	Homo sapiens	-999	more	*Km-values of chimeric enzymes
KM	Haloferax volcanii	0.08	ATP	*in 100 mM Tris-HCl, pH 7.5, 7 mM MgCl2, 0.5 M KCl, at 42&deg;C
KM	Escherichia coli	0.12	ATP	*pH 7.6, 37&deg;C
KM	Escherichia coli	0.13	D-Fructose 1-phosphate	*pH 7.1, 30&deg;C, in the presence of 50 mM KCl
KM	Clostridium pasteurianum	0.14	ATP	*pH 8.0, 25&deg;C
KM	Pseudomonas putida	0.16	D-Fructose 1-phosphate	*pH 8.0, 25&deg;C
KM	Pseudomonas putida	0.19	D-Fructose 1-phosphate	*pH 9.0, 25&deg;C
KM	Escherichia coli	0.25	D-Fructose 1-phosphate	*pH 7.6, 37&deg;C
KM	Oceanimonas doudoroffii	0.3	D-Fructose 1-phosphate	*
KM	Klebsiella aerogenes	0.3	D-Fructose 1-phosphate	*
KM	Klebsiella aerogenes	0.3	D-Fructose 1-phosphate	*pH 7.5, 25&deg;C
KM	Haloferax volcanii	0.31	D-Fructose 1-phosphate	*in 100 mM Tris-HCl, pH 7.5, 7 mM MgCl2, 0.5 M KCl, at 42&deg;C
KM	Oceanimonas doudoroffii	0.34	ATP	*
KM	Escherichia coli	0.35	ATP	*pH 7.1, 30&deg;C, in the presence of 5 mM KCl
KM	Escherichia coli	0.36	fructose 1-phosphate	*pH 7.1, 30&deg;C, in the absence of KCl
KM	Pseudomonas putida	0.41	ATP	*pH 8.0, 25&deg;C
KM	Escherichia coli	0.6	ATP	*pH 7.1, 30&deg;C, in the presence of 50 mM KCl
KM	Clostridium pasteurianum	0.62	D-Fructose 1-phosphate	*pH 8.0, 25&deg;C
KM	Clostridium pasteurianum	0.67	ITP	*pH 8.0, 25&deg;C
KM	Klebsiella aerogenes	0.7	ATP	*
KM	Klebsiella aerogenes	0.75	D-Fructose 1-phosphate	*
KM	Klebsiella aerogenes	0.8	ATP	*
KM	Haloarcula vallismortis	0.8	D-Fructose 1-phosphate	*pH 7.5, 37&deg;C
KM	Haloferax volcanii	1.12	D-fructose 6-phosphate	*in 100 mM Tris-HCl, pH 7.5, 7 mM MgCl2, 0.5 M KCl, at 42&deg;C
KM	Haloarcula vallismortis	1.44	ATP	*pH 7.5, 37&deg;C
MW	Clostridium pasteurianum	21400	*	*1 * 21400 + 1 * 35500, SDS-PAGE, after treatment with 8 M urea and 2-mercaptoethanol
MW	Clostridium pasteurianum	28500	*	*1 * 28500 + 1 * 40000, SDS-PAGE, after treatment with 2-mercaptoethanol
MW	Escherichia coli	30000	*	*2 * 30000, SDS-PAGE
MW	Escherichia coli	34000	*	*2 * 34000, recombinant enzyme, SDS-PAGE
MW	Clostridium pasteurianum	35500	*	*1 * 21400 + 1 * 35500, SDS-PAGE, after treatment with 8 M urea and 2-mercaptoethanol
MW	Haloferax volcanii	38000	*	*2 * 38000, SDS-PAGE
MW	Clostridium pasteurianum	40000	*	*1 * 28500 + 1 * 40000, SDS-PAGE, after treatment with 2-mercaptoethanol
MW	Escherichia coli	57000	*	*gel filtration
MW	Clostridium pasteurianum	62500	*	*low-speed sedimentation equilibrium
MW	Clostridium pasteurianum	63100	*	*gel filtration
MW	Clostridium pasteurianum	63200	*	*sucrose density gradient centrifugation
MW	Haloferax volcanii	70000	*	*gel filtration
MW	Klebsiella aerogenes	75000	*	*gel filtration
MW	Klebsiella aerogenes	75000	*	*gel filtration
MW	Haloarcula vallismortis	76000	*	*gel filtration, sucrose density gradient ultracentrifugation
PATH	*	degradation of hexoses	*	*
PATH	*	Fructose and mannose metabolism	*	*
PATH	*	fructose degradation	*	*
PATH	*	Metabolic pathways	*	*
SA	Klebsiella aerogenes	-999	*	*
SA	Clostridium pasteurianum	-999	*	*
SA	Klebsiella aerogenes	0.27	*	*activity in crude extracts
SA	Pseudomonas putida	4.02	*	*
SA	Oceanimonas doudoroffii	4.2	*	*
SA	Clostridium symbiosum	6.9	*	*
SA	Klebsiella aerogenes	47	*	*
SA	Klebsiella aerogenes	47	*	*
