KCAT	Bacteroides thetaiotaomicron	1.02	CTP	*pH 7.5, 25&deg;C
KM	Bacteroides thetaiotaomicron	0.51	CTP	*pH 7.5, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	1.7	CTP	*cosubstrate N-glycolylneuraminic acid, pH 9, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	2.6	CTP	*cosubstrate 3-deoxy-D-glycero-D-galacto-nononate, pH 9, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	2.7	CTP	*cosubstrate N-acetylneuraminic acid, pH 9, 25&Acirc;&deg;C
KM	Mus musculus	0.26	N-acetylneuraminic acid	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	2.8	N-acetylneuraminic acid	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	7.6	N-acetylneuraminic acid	*pH 9.0, 25&Acirc;&deg;C
KM	Mus musculus	0.56	3-deoxy-D-glycero-D-galacto-nononate	*pH 9.0, 25&Acirc;&deg;C
KM	Bacteroides thetaiotaomicron	1.04	3-deoxy-D-glycero-D-galacto-nononate	*pH 7.5, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	3	3-deoxy-D-glycero-D-galacto-nononate	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	3.3	3-deoxy-D-glycero-D-galacto-nononate	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	6.7	3,5-dideoxy-5-fluoro-D-glycero-D-galacto-nonulosonic acid	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	0.53	5-chloro-3,5-dideoxy-D-glycero-D-galacto-nonulosonic acid	*pH 9.0, 25&Acirc;&deg;C
KM	Oncorhynchus mykiss	0.4	5-bromo-3,5-dideoxy-D-glycero-D-galacto-nonulosonic acid	*pH 9.0, 25&Acirc;&deg;C
MW	Mus musculus	66000	*	*SDS-PAGE, recombinant thioredoxin fusion protein
MW	Oncorhynchus mykiss	69000	*	*SDS-PAGE, recombinant thioredoxin fusion protein
MW	Oncorhynchus mykiss	260000	*	*gel filtration
PATH	*	CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis	*	*
