KCAT	Salmonella enterica	0.67	alpha-ribazole	*
KM	Pseudomonas denitrificans (nomen rejiciendum)	0.0009	adenosylcobinamide-GDP	*30&Acirc;&deg;C, pH 9.0
KM	Pseudomonas denitrificans (nomen rejiciendum)	0.0078	alpha-ribazole	*30&Acirc;&deg;C, pH 9.0
KM	Pseudomonas denitrificans (nomen rejiciendum)	0.0027	alpha-ribazole 5'-phosphate	*30&Acirc;&deg;C, pH 9.0
MW	Pyrococcus sp.	25285	*	*x * 25285, deduced from nucleotide sequence
PATH	*	2-methyladeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	5-hydroxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	5-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I	*	*
PATH	*	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP II	*	*
PATH	*	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	phenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
PATH	*	superpathway of adenosylcobalamin salvage from cobinamide I	*	*
PATH	*	superpathway of adenosylcobalamin salvage from cobinamide II	*	*
PATH	*	vitamin B12 metabolism	*	*
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.008	*	*recombinant enzyme
