KM	Homo sapiens	0.12	L-serine	*pH 7.5, 37&deg;C
MW	Homo sapiens	50000	*	*x * 50000, SDS-PAGE of epitope-tagged recombinant protein
MW	Mus musculus	50000	*	*; x * 50000, calculated from amino acid sequence
MW	Cricetulus griseus	55000	*	*x * 55000, SDS-PAGE
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Glycerophospholipid metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	phosphatidylethanolamine biosynthesis III	*	*
PATH	*	phosphatidylserine biosynthesis I	*	*
PATH	*	phosphatidylserine biosynthesis II	*	*
PATH	*	superpathway of phospholipid biosynthesis II (plants)	*	*
SA	Cricetulus griseus	0.26	*	*substrate L-serine, pH 7.5, 37&Acirc;&deg;C
SA	Cricetulus griseus	0.51	*	*substrate L-1-phosphatidylethanolamine, pH 7.5, 37&Acirc;&deg;C
SA	Homo sapiens	1	*	*pH 7.5, 37&Acirc;&deg;C
