KM	Escherichia coli	0.085	L-Ser	*pH 7.2, 37&deg;C, membrane-bound enzyme
MW	Homo sapiens	37000	*	*x * 37000, SDS-PAGE
MW	Escherichia coli	52800	*	*theoretical
MW	Escherichia coli	52817	*	*x * 52817, calculation from nucleotide sequence
MW	Escherichia coli	53000	*	*determined by SDS-PAGE
MW	Escherichia coli	54000	*	*x * 54000, SDS-PAGE
MW	Escherichia coli	54000	*	*x * 54000, SDS-PAGE
MW	Homo sapiens	55500	*	*x * 55500, calculated from amino acid sequence
MW	Escherichia coli	500000	*	*glycerol gradient centrifugation
MW	Escherichia coli	500000	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Glycerophospholipid metabolism	*	*
PATH	*	Glycine, serine and threonine metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	phosphatidylethanolamine bioynthesis	*	*
PATH	*	phosphatidylserine and phosphatidylethanolamine biosynthesis I	*	*
PATH	*	superpathway of phospholipid biosynthesis II (plants)	*	*
SA	Escherichia coli	0.34	*	*extract supernatant
SA	Escherichia coli	1.31	*	*
SA	Escherichia coli	2.62	*	*after ammonium sulfate precipitation
SA	Escherichia coli	7.86	*	*purification step SP-Sepharose HP
SA	Escherichia coli	13.62	*	*purification step Sephadex G-75
SA	Escherichia coli	33	*	*
SA	Escherichia coli	39	*	*
SA	Escherichia coli	39	*	*
