KCAT	Solanum tuberosum	0.015	granular potato starch	*30&Acirc;&deg;C
KM	Solanum tuberosum	0.00023	ATP	*
MW	Arabidopsis thaliana	14200	*	*theoretical, starch-binding domain, SBD, Asp68-Gly184, verified by SDS-PAGE
MW	Solanum tuberosum	152000	*	*multi-angle laser light scattering after gel-filtration
MW	Spirodela polyrhiza	154000	*	*starch-associated, phosphorylated and non-phosphorylated GWD, SDS-PAGE
MW	Solanum tuberosum	155000	*	*x * 155000, SDS-PAGE
MW	Solanum tuberosum	160000	*	*
MW	Pisum sativum	160000	*	*SDS-PAGE
MW	Solanum tuberosum	160000	*	*SDS-PAGE
MW	Spirodela polyrhiza	160000	*	*SDS-PAGE
MW	Solanum tuberosum	160000	*	*
MW	Arabidopsis thaliana	160000	*	*recombinant StrepII-tagged enzyme
MW	Solanum tuberosum	330000	*	*gel filtration
PATH	*	starch degradation II	*	*
SA	Arabidopsis thaliana	-999	*	*conversion of heat solubilized maltodextrin below 1 nmol/min/mg
SA	Arabidopsis thaliana	0.00007	*	*wheat starch, kernel, A-allomorph
SA	Arabidopsis thaliana	0.00008	*	*waxy maize starch, kernel, A-allomorph
SA	Arabidopsis thaliana	0.00011	*	*maize starch, kernel, A-allomorph
SA	Arabidopsis thaliana	0.0012	*	*amylose extender mutant maize, kernel, B-allomorph
SA	Arabidopsis thaliana	0.0023	*	*potato starch, tuber, B-allomorph
SA	Arabidopsis thaliana	0.0112	*	*Arabidopsis sex1-3, leaf, B-allomorph
SA	Arabidopsis thaliana	0.02	*	*amylopectin, mean chain length: 23.5, nmol glucose-6-phosphate/mg: 0.1
SA	Arabidopsis thaliana	0.04	*	*amylopectin, pre-phosphorylated, mean chain length: 24.8, nmol glucose-6-phosphate/mg: 0.5
SA	Arabidopsis thaliana	0.058	*	*crystalline maltodextrin, B-allomorph
SA	Solanum tuberosum	0.07	*	*30&deg;C, wild-type, substrate potato amylose
SA	Solanum tuberosum	0.14	*	*30&deg;C, fragment N11, substrate potato amylose
SA	Solanum tuberosum	0.2	*	*30&deg;C, wild-type, substrate amylose 53
SA	Solanum tuberosum	0.41	*	*30&deg;C, wild-type, substrate amylose 85
SA	Arabidopsis thaliana	0.49	*	*amylopectin, elongated, mean chain length: 29.7, nmol glucose-6-phosphate/mg: 0.1
SA	Arabidopsis thaliana	0.65	*	*amylopectin, elongated and pre-phosphorylated, mean chain length: 30.8, nmol glucose-6-phosphate/mg: 39.4
SA	Solanum tuberosum	1.01	*	*30&deg;C, fragment N11, substrate amylose 53
SA	Solanum tuberosum	1.18	*	*30&deg;C, fragment N11, substrate amylose 85
SA	Arabidopsis thaliana	1.36	*	*soluble potato starch
SA	Solanum tuberosum	3.26	*	*30&deg;C, wild-type, substrate potato amylopektin
SA	Solanum tuberosum	5.8	*	*30&deg;C, wild-type, substrate granular potato starch
SA	Solanum tuberosum	6.19	*	*30&deg;C, fragment N11, substrate potato amylopektin
