KCAT	Anaerotignum propionicum	14.2	propionate	*pH 7.0, 25&deg;C
KM	Cupriavidus necator	0.6	acetyl-CoA	*at pH 7.4 and 30&Acirc;&deg;C
KM	Cupriavidus necator	4.5	acetate	*at pH 7.4 and 30&Acirc;&deg;C
KM	Anaerotignum propionicum	0.035	propionate	*
KM	Anaerotignum propionicum	0.36	propionate	*pH 7.0, 25&Acirc;&deg;C
KM	Cupriavidus necator	0.3	propionyl-CoA	*at pH 7.4 and 30&Acirc;&deg;C
KM	Cupriavidus necator	4.5	3-hydroxybutyrate	*at pH 7.4 and 30&Acirc;&deg;C
MW	Propionibacterium freudenreichii	55700	*	*
MW	Propionibacterium freudenreichii	56000	*	*x * 56000, SDS-PAGE
MW	Cupriavidus necator	57000	*	*4 * 57000, calculated from amino acid sequence
MW	Anaerotignum propionicum	60000	*	*x * 60000, SDS-PAGE
MW	Cupriavidus necator	64000	*	*4 * 64000, SDS-PAGE
MW	Anaerotignum propionicum	67000	*	*4 * 67000, SDS-PAGE
MW	Anaerotignum propionicum	224000	*	*gel filtration
MW	Cupriavidus necator	228000	*	*gel filtration
PATH	*	1,2-propanediol biosynthesis from lactate (engineered)	*	*
PATH	*	4-aminobutanoate degradation V	*	*
PATH	*	acetyl-CoA fermentation to butanoate II	*	*
PATH	*	alanine metabolism	*	*
PATH	*	CO2 fixation in Crenarchaeota	*	*
PATH	*	fermentation to 2-methylbutanoate	*	*
PATH	*	gallate degradation III (anaerobic)	*	*
PATH	*	L-glutamate degradation V (via hydroxyglutarate)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Propanoate metabolism	*	*
PATH	*	propanol degradation	*	*
PATH	*	pyruvate fermentation to propanoate II (acrylate pathway)	*	*
PATH	*	Pyruvate metabolism	*	*
PATH	*	Styrene degradation	*	*
PATH	*	succinate fermentation to butanoate	*	*
SA	Anaerotignum propionicum	-999	*	*development of propionate-detection systems, overview
SA	Anaerotignum propionicum	0.34	*	*substrate propionate
SA	Anaerotignum propionicum	85	*	*
SA	Anaerotignum propionicum	157	*	*
