KM	Thauera aromatica	0.16	succinate	*
KM	Thauera aromatica	0.04	(R)-2-benzylsuccinyl-CoA	*
MW	Aromatoleum aromaticum	40000	*	*
MW	Thauera aromatica	44000	*	*alpha2beta2, 2 * 44000 + 2 * 45000, SDS-PAGE, electrospray-mass spectroscopy
MW	Thauera aromatica	45000	*	*alpha2beta2, 2 * 44000 + 2 * 45000, SDS-PAGE, electrospray-mass spectroscopy
MW	Thauera aromatica	215000	*	*gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Toluene degradation	*	*
PATH	*	toluene degradation	*	*
PATH	*	toluene degradation to benzoyl-CoA (anaerobic)	*	*
SA	Aromatoleum aromaticum	0.024	*	*with (R/S)-phenylsuccinyl-CoA and (R,S)-benzylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.085	*	*with succinyl-CoA and (S)-benzylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.103	*	*with succinyl-CoA and (R,S)-benzylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.108	*	*with (R/S)-phenylsuccinyl-CoA and (R,S)-phenylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.122	*	*with succinyl-CoA and (R)-benzylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.136	*	*with succinyl-CoA and 2-oxo-indole-3-acetate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.188	*	*with succinyl-CoA and indole-3-acetate as substrates, at pH 8.0, temperature not specified in the publication
SA	Aromatoleum aromaticum	0.235	*	*with succinyl-CoA and(R,S)-phenylsuccinate as substrates, at pH 8.0, temperature not specified in the publication
SA	Thauera aromatica	15	*	*
SA	Thauera aromatica	320	*	*
