KM	Clostridium sporogenes	0.003	cinnamoyl-CoA	*cosubstrate phenylpropionate
KM	Clostridium sporogenes	0.009	phenylpropionate	*cosubstrate cinnamoyl-CoA
MW	Clostridium sporogenes	40000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	40000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	43000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	43000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	46000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	46000	*	*alpha, beta, gamma, 1 * 46000, 1 * 43000, 1 * 40000, the 46000 kDa subunit A mediates CoA-transfer to phenyllactate, subunits BC mediate dehydration of phenyllactyl-CoA to cinnamoyl-CoA
MW	Clostridium sporogenes	130000	*	*gel filtration
PATH	*	4-hydroxybenzoate biosynthesis I (eukaryotes)	*	*
PATH	*	L-phenylalanine degradation VI (Stickland reaction)	*	*
PATH	*	L-tryptophan degradation XIII (Stickland reaction)	*	*
PATH	*	L-tyrosine degradation V (Stickland reaction)	*	*
PATH	*	phenylalanine metabolism	*	*
PATH	*	Tropane, piperidine and pyridine alkaloid biosynthesis	*	*
