KM	Bos taurus	0.52	1-acyl-2-oleoyl-sn-glycerol-3-phosphoinositol	*
MW	Bos taurus	18300	*	*x * 18521, amino acid analysis, x * 18300, SDS-PAGE
MW	Bos taurus	18520	*	*amino acid analysis
MW	Bos taurus	18521	*	*x * 18521, amino acid analysis, x * 18300, SDS-PAGE
PATH	*	Glycerophospholipid metabolism	*	*
SA	Mus musculus	-999	*	*5fold increase in specific activity of activated platelet-derived wild-type and phosphorylated forms in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
SA	Mus musculus	0.21	*	*mutant K271N/K273N/K274N, from activated platelets
SA	Mus musculus	0.23	*	*wild-type, from activated platelets
SA	Mus musculus	0.26	*	*phoshorylated at residue S515, from activated platelets
SA	Mus musculus	0.38	*	*phoshorylated at residue S505, from activated platelets
SA	Mus musculus	0.39	*	*mutant K488N/K543N/K544N, from activated platelets, in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
SA	Mus musculus	0.4	*	*mutant K488N/K543N/K544N, from activated platelets
SA	Mus musculus	0.405	*	*phosphorylated at residues S505 and S727, from activated platelets
SA	Mus musculus	0.68	*	*mutant K271N/K273N/K274N, from activated platelets, in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
SA	Bos taurus	0.742	*	*
SA	Mus musculus	0.866	*	*phoshorylated at residue S515, from activated platelets, in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
SA	Mus musculus	1.03	*	*wild-type, from activated platelets, in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
SA	Mus musculus	1.45	*	*phoshorylated at residue S505, from activated platelets, in presence of 10 mol% phosphatidylinositol 4,5-biphosphate
