KCAT	Ectocarpus siliculosus	0.015	D-mannitol 1-phosphate	*at pH 7.5 and 30&Acirc;&deg;C
KM	Eimeria tenella	0.2	mannitol 1-phosphate	*0.2 at 41&deg; C, 0.5 at 25&deg; C
KM	Caloglossa continua	0.41	D-mannitol 1-phosphate	*
KM	Ectocarpus siliculosus	0.67	D-mannitol 1-phosphate	*at pH 7.5 and 30&deg;C
KM	Aspergillus nidulans	1	mannitol 1-phosphate	*at 2 mM mannitol 1-phosphate the maximal activity was underestimated, additional information
KM	Pyricularia oryzae	3	mannitol 1-phosphate	*
MW	Caloglossa continua	28500	*	*gel filtration
MW	Caloglossa continua	30200	*	*1 * 30200, SDS-PAGE
MW	Eimeria tenella	34650	*	*LC-ESI-MS analysis
MW	Eimeria tenella	34740	*	*calculation from sequence of cDNA
MW	Ectocarpus siliculosus	36000	*	*4 * 36000, calculated from amino acid sequence
MW	Ectocarpus siliculosus	155000	*	*isoform M1Pase2, gel filtration
PATH	*	Fructose and mannose metabolism	*	*
PATH	*	mannitol biosynthesis	*	*
PATH	*	mannitol cycle	*	*
PATH	*	Metabolic pathways	*	*
SA	Cyberlindnera jadinii	0.006	*	*
SA	Aspergillus niger	0.027	*	*
SA	Thermomyces lanuginosus	0.045	*	*
SA	Botrytis cinerea	0.048	*	*
SA	Talaromyces islandicus	0.06	*	*
SA	Fusarium graminearum	0.062	*	*
SA	Pyricularia oryzae	0.087	*	*
SA	Trichothecium roseum	0.1	*	*
SA	Neurospora crassa	0.16	*	*
SA	Eimeria tenella	0.2	*	*
SA	Ceratocystis multiannulata	0.23	*	*
SA	Penicillus frequentans	0.28	*	*
SA	Cladosporium cladosporioides	0.31	*	*
SA	Alternaria alternata	0.44	*	*
SA	Caloglossa continua	62.5	*	*
SA	Acinetobacter baylyi	103	*	*enzyme in presence of 5 mM MgSO4, pH 6.5, 30&Acirc;&deg;C
SA	Penicillium chrysogenum	1792	*	*after ammonium sulfate fractionation
