KCAT	Aspergillus niger	108	4-nitrophenyl phosphate	*pH 8.0, 30&deg;C
KM	Macrobrachium olfersii	-999	more	*kinetics in freshwater and 21% salinity, overview
KM	Enterobacter asburiae	0.06	4-nitrophenyl phosphate	*K0.5 value, Hill coefficient 1.2, pH 3.5, 37&deg;C
KM	Enterobacter asburiae	0.084	diphosphate	*K0.5 value, Hill coefficient 2.3, pH 3.5, 37&deg;C
KM	Enterobacter asburiae	0.11	ATP	*K0.5 value, Hill coefficient 1.6, pH 3.5, 37&deg;C
KM	Macrobrachium olfersii	1.31	4-nitrophenyl phosphate	*pH 7.5, 25&deg;C, 21% salinity
KM	Macrobrachium olfersii	1.33	K+	*pH 7.5, 25&deg;C, 21% salinity
KM	Macrobrachium olfersii	1.72	4-nitrophenyl phosphate	*pH 7.5, 25&deg;C, fresh water
KM	Macrobrachium olfersii	2.09	Mg2+	*pH 7.5, 25&deg;C, 21% salinity
KM	Macrobrachium olfersii	11.4	NH4+	*pH 7.5, 25&deg;C, 21% salinity
PATH	*	Aminobenzoate degradation	*	*
PATH	*	degradation of aromatic, nitrogen containing compounds	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Canis lupus familiaris	0.002	*	*4-nitrophenyl phosphatase activity of Na+/K+-ATPase in microsomes
SA	Rattus norvegicus	0.034	*	*enzyme isolated from brain, at 37&deg;C
SA	Rattus norvegicus	0.127	*	*4-nitrophenyl phosphatase activity in different brain regions of high and low rearing subgroups of rats, overview
SA	Macrobrachium olfersii	123.6	*	*4-nitrophenyl phosphatase activity
