KM	Gossypium hirsutum	-999	3'-phosphoadenosine 5'-phosphosulfate	*KM value lower than 0.01 mM
KM	Rattus norvegicus	0.0009	inositol 1,4-bisphosphate	*37&Acirc;&deg;C
KM	Bos taurus	0.004	inositol 1,4-bisphosphate	*37&Acirc;&deg;C, pH 7.5
KM	Rattus norvegicus	0.004	inositol 1,4-bisphosphate	*
KM	Rattus norvegicus	0.0178	inositol 1,4-bisphosphate	*37&Acirc;&deg;C, pH 7.2
KM	Rattus norvegicus	0.2	inositol 1,4-bisphosphate	*30&Acirc;&deg;C, pH 7.5
KM	Rattus norvegicus	0.02	inositol 1,3,4-trisphosphate	*37&Acirc;&deg;C
MW	Gossypium hirsutum	37000	*	*x * 37000, SDS-PAGE
MW	Bos taurus	38000	*	*gel filtration
MW	Bos taurus	44000	*	*gel filtration
MW	Rattus norvegicus	47000	*	*gel filtration
MW	Rattus norvegicus	58000	*	*gel filtration
PATH	*	D-myo-inositol (1,4,5)-trisphosphate degradation	*	*
PATH	*	Inositol phosphate metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Rattus norvegicus	0.052	*	*
SA	Bos taurus	12.4	*	*37&Acirc;&deg;C, pH 7.5
