KM	Pyrococcus horikoshii	0.134	2(alpha-D-mannosyl)-3-phosphoglycerate	*
KM	Thermus thermophilus	0.52	2-O-(alpha-D-mannosyl)-3-phosphoglycerate	*pH 7.6, 70&deg;C
MW	Palaeococcus ferrophilus	27100	*	*x * 27100, SDS-PAGE
MW	Palaeococcus ferrophilus	27130	*	*x * 27130, calculated from sequence
MW	Thermus thermophilus	28100	*	*calculated from sequence
MW	Thermus thermophilus	28200	*	*2 * 28200, recombinant enzyme, SDS-PAGE
MW	Thermus thermophilus	56400	*	*recombinant enzyme, gel filtration
PATH	*	Fructose and mannose metabolism	*	*
PATH	*	mannosylglycerate biosynthesis	*	*
PATH	*	mannosylglycerate biosynthesis I	*	*
PATH	*	Metabolic pathways	*	*
