PATH	*	3-phosphoinositide degradation	*	*
PATH	*	D-myo-inositol-5-phosphate metabolism	*	*
SA	Shigella flexneri	-999	*	*not detectable, 1 microM inositol 1,3,4,5-tetrakisphosphate and 1500 counts per minute of [3H]inositol 1,3,4,5-tetrakisphosphate, recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg), reaction 37&Acirc;&deg;C for 10 min in a 50 microl final volume containing 50 mM HEPES pH 7.4, 0.1% bovine serum albumin, 2 mM MgCl2, and 0.033% beta-mercaptoethanol
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000003	*	*approx., C462A mutant, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000005	*	*approx., R468A mutant, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000007	*	*approx., GST, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000011	*	*approx., DELTA1-351 mutant, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000015	*	*approx., DELTA352-563 mutant, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000032	*	*approx., DELTA118-142 mutant, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.0000063	*	*approx., SigD, expressed in Escherichia coli DH5alpha, GST-tagged, malachite-green phosphatase assay (phosphatidylinositol 3,4,5-trisphosphate)
SA	Shigella flexneri	0.0003	*	*10 microM concentration of inositol 1,4,5-trisphosphate and 1500 counts per minute of [3H]inositol 1,4,5-trisphosphate, recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg), reaction 37&Acirc;&deg;C for 10 min in a 50 microl final volume containing 50 mM HEPES pH 7.4, 0.1% bovine serum albumin, 2 mM MgCl2, and 0.033% b-mercaptoethanol, similar results when expressed without IpgE
SA	Shigella flexneri	0.0058	*	*50 microl of recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg) in 50 mM Tris pH 7.5 containing 50 mM glutathione and 100 mM NaCl , 37&Acirc;&deg;C, 15 min, reaction mixture contained 10 microM [32P] phosphatidylinositol 3-phosphate and 20 microM phosphatidylserine, similar results when expressed without IpgE
SA	Shigella flexneri	0.01	*	*50 microl of recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg) in 50 mM Tris pH 7.5 containing 50 mM glutathione and 100 mM NaCl , 37&Acirc;&deg;C, 15 min, reaction mixture contained 10 microM [32P] phosphatidylinositol 4-phosphate and 20 microM phosphatidylserine, similar results when expressed without IpgE
SA	Shigella flexneri	0.0253	*	*50 microl of recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg) in 50 mM Tris pH 7.5 containing 50 mM glutathione and 100 mM NaCl, 37&Acirc;&deg;C, 15 min, reaction mixture contained 10 microM [32P] phosphatidylinositol 3,4-bisphosphate and 20 microM phosphatidylserine, similar results when expressed without IpgE
SA	Shigella flexneri	0.0321	*	*50 microl of recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg) in 50 mM Tris pH 7.5 containing 50 mM glutathione and 100 mM NaCl, 37&Acirc;&deg;C, 15 min, reaction mixture contained 10 microM [32P] phosphatidylinositol 3,4,5-trisphosphate and 20 microM phosphatidylserine, similar results when expressed without IpgE
SA	Shigella flexneri	0.061	*	*50 microl of recombinant GST-IpgD expressed with chaperone IpgE (1-3 microg) in 50 mM Tris pH 7.5 containing 50 mM glutathione and 100 mM NaCl , 37&Acirc;&deg;C, 15 min, reaction mixture contained 10 microM [32P] phosphatidylinositol 4,5-bisphosphate and 20 microM phosphatidylserine, similar results when expressed without IpgE
