KCAT	Homo sapiens	6.48	dehydroepiandrosterone sulfate	*pH 8, 37&deg;C
KM	Pseudomonas aeruginosa	0.007	4-nitrophenyl sulfate	*pH 8.8, 37&Acirc;&deg;C
KM	Helix pomatia	2.03	4-nitrophenyl sulfate	*
KM	Patella vulgata	10	4-nitrophenyl sulfate	*
KM	Haliotis sp.	10.2	4-nitrophenyl sulfate	*
KM	Chlamydomonas reinhardtii	0.007	p-Nitrophenyl sulfate	*
KM	Homo sapiens	1.32	p-Nitrophenyl sulfate	*
KM	Homo sapiens	1.32	p-Nitrophenyl sulfate	*
KM	Rattus norvegicus	1.8	p-Nitrophenyl sulfate	*
KM	Bos taurus	1600	p-Nitrophenyl sulfate	*
KM	Danio rerio	0.0034	Estrone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Danio rerio	0.0043	Estrone 3-sulfate	*pH 7.0, 28&Acirc;&deg;C
KM	Homo sapiens	0.0051	Estrone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.0063	Estrone 3-sulfate	*37&Acirc;&deg;C, MCF-7 cells
KM	Pseudomonas aeruginosa	0.014	Estrone 3-sulfate	*pH 8.8, 37&Acirc;&deg;C
KM	Homo sapiens	0.035	Estrone 3-sulfate	*37&Acirc;&deg;C, mammary myoepithelial cells
KM	Sus scrofa	0.00215	Estrone sulfate	*37&Acirc;&deg;C, 10 min reaction time, Ringer-HEPES buffer, Vmax=24.05 fmol/s/microgram protein
KM	Homo sapiens	0.00685	Estrone sulfate	*37&Acirc;&deg;C
KM	Rattus norvegicus	0.072	Estrone sulfate	*pH 7.5, 37&Acirc;&deg;C, POGS-5 microsomes
KM	Homo sapiens	0.07275	Estrone sulfate	*pH 8, 37&Acirc;&deg;C
KM	Homo sapiens	0.0029	dehydroepiandrosterone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.003	dehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	0.00385	dehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	0.0078	dehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	0.008	dehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	0.00944	dehydroepiandrosterone 3-sulfate	*37&Acirc;&deg;C
KM	Homo sapiens	0.0154	dehydroepiandrosterone 3-sulfate	*in presence or absence of phosphate
KM	Danio rerio	0.0157	dehydroepiandrosterone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Danio rerio	0.0194	dehydroepiandrosterone 3-sulfate	*pH 7.0, 28&Acirc;&deg;C
KM	Homo sapiens	0.033	dehydroepiandrosterone 3-sulfate	*
KM	Macaca mulatta	0.036	dehydroepiandrosterone 3-sulfate	*pH 7.4, 50&Acirc;&deg;C
KM	Homo sapiens	0.05	dehydroepiandrosterone 3-sulfate	*
KM	Bos taurus	0.113	dehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	0.0017	dehydroepiandrosterone sulfate	*
KM	Homo sapiens	0.0036	dehydroepiandrosterone sulfate	*37&Acirc;&deg;C, MCF-7 cells
KM	Homo sapiens	0.0043	dehydroepiandrosterone sulfate	*pH 7.5, 37&Acirc;&deg;C, subcortical white matter, female
KM	Homo sapiens	0.0044	dehydroepiandrosterone sulfate	*pH 7.5, 37&Acirc;&deg;C, cerebral neocortex, male
KM	Homo sapiens	0.0059	dehydroepiandrosterone sulfate	*pH 7.5, 37&Acirc;&deg;C, cerebral neocortex, female
KM	Homo sapiens	0.0074	dehydroepiandrosterone sulfate	*pH 7.5, 37&Acirc;&deg;C, subcortical white matter, male
KM	Homo sapiens	0.00959	dehydroepiandrosterone sulfate	*pH 8, 37&Acirc;&deg;C
KM	Homo sapiens	0.013	dehydroepiandrosterone sulfate	*37&Acirc;&deg;C, mammary myoepithelial cells
KM	Danio rerio	0.00062	cholesterol 3-sulfate	*pH 7.0, 28&Acirc;&deg;C
KM	Danio rerio	0.001	cholesterol 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.00526	cholesterol 3-sulfate	*
KM	Homo sapiens	0.0057	cholesterol 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.0067	Cholesterol sulfate	*pH 6.4, 37&Acirc;&deg;C
KM	Homo sapiens	0.1	methylumbelliferyl sulfate	*esterone 3-sulfate
KM	Homo sapiens	0.27	methylumbelliferyl sulfate	*s-form
KM	Mus musculus	0.45	methylumbelliferyl sulfate	*hydropobic form
KM	Homo sapiens	0.58	methylumbelliferyl sulfate	*f-form
KM	Mus musculus	2.5	methylumbelliferyl sulfate	*hydrophilic form
KM	Danio rerio	0.00018	pregnenolone 3-sulfate	*pH 7.0, 28&Acirc;&deg;C
KM	Danio rerio	0.00025	pregnenolone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.00073	pregnenolone 3-sulfate	*
KM	Homo sapiens	0.0018	pregnenolone 3-sulfate	*pH 7.0, 37&Acirc;&deg;C
KM	Homo sapiens	0.217	4-methylumbelliferylsulfate	*
KM	Homo sapiens	0.005	esterone 3-sulfate	*
KM	Homo sapiens	0.0506	esterone 3-sulfate	*
KM	Homo sapiens	0.02	16alpha-hydroxydehydroepiandrosterone 3-sulfate	*
KM	Homo sapiens	1	p-nitrophenylsulfate	*
KM	Homo sapiens	0.00313	androstenediol 3-sulfate	*
KM	Homo sapiens	0.014	dehydroandrosterone 3-sulfate	*
KM	Pseudomonas aeruginosa	0.0045	testosterone 3-sulfate	*mutant R155P/L157V/K158I/K330V, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.0096	testosterone 3-sulfate	*mutant I156V/L157V/K158I/K330V, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.017	testosterone 3-sulfate	*mutant I156L/K158E/L325F, pH 9.0, 37&Acirc;&deg;C
KM	Pseudomonas aeruginosa	0.022	testosterone 3-sulfate	*mutant R155P/K330V, pH 9.0, 37&Acirc;&deg;C
