KM	Streptococcus agalactiae	-999	hyaluronoic acid	*0.08 mg/ml; value in mg/ml
MW	Hybomitra muehlfeldi	35000	*	*SDS-PAGE
MW	Hybomitra ciureai	37000	*	*SDS-PAGE
MW	Tabanus autumnalis	38000	*	*SDS-PAGE
MW	Vespa tropica	39120	*	*calculated from sequence, VesT2a
MW	Vespa tropica	39572	*	*calculated from sequence, VesT2b
MW	Chrysops relictus	40000	*	*SDS-PAGE
MW	Haematopota pluvialis	40000	*	*SDS-PAGE
MW	Chrysops caecutiens	48000	*	*SDS-PAGE
MW	Tabanus maculicornis	48000	*	*SDS-PAGE
MW	Chrysops viduatus	52000	*	*SDS-PAGE
MW	Streptococcus equinus	55000	*	*SDS-PAGE
MW	Streptococcus equi subsp. zooepidemicus	55000	*	*SDS-PAGE
MW	Streptococcus agalactiae	116000	*	*SDS-PAGE
MW	Bacillus sp. (in: Bacteria)	120000	*	*2 * 120000, SDS-PAGE
SA	Streptococcus agalactiae	-999	*	*activity measured as turbidicity reducing units
SA	Haemopis marmorata	0.027	*	*head, wet weight
SA	Glossiphonia complanata	0.028	*	*crop, wet weight
SA	Placobdella ornata	0.029	*	*crop, wet weight
SA	Helobdella stagnalis	0.032	*	*crop, wet weight
SA	Haemopis marmorata	0.038	*	*crop, wet weight
SA	Helobdella stagnalis	0.055	*	*head, wet weight
SA	Glossiphonia complanata	0.058	*	*head, wet weight
SA	Theromyzon sp.	0.09	*	*head and crop, wet weight
SA	Placobdella ornata	0.102	*	*head, wet weight
SA	Placobdella picta	0.111	*	*head, wet weight
SA	Placobdella picta	0.117	*	*crop, wet weight
SA	Hirudo medicinalis	0.201	*	*crop, wet weight
SA	Erpobdella punctata	0.205	*	*crop, wet weight
SA	Erpobdella punctata	0.278	*	*head, wet weight
SA	Erpobdella obscura	0.325	*	*crop, wet weight
SA	Erpobdella obscura	0.722	*	*head, wet weight
SA	Bacillus sp. (in: Bacteria)	4.86	*	*culture supernatant, at pH 6.5 and 44&deg;C
SA	Hirudo medicinalis	42.05	*	*head, wet weight
SA	Bacillus sp. (in: Bacteria)	102.1	*	*after 21.02fold purification, at pH 6.5 and 44&deg;C
SA	Hirudo medicinalis	5000	*	*
