KCAT	Thermobifida fusca	0.00039	2,4-dinitrophenol cellobiose	*pH 5.5
KCAT	Fibrobacter succinogenes subsp. succinogenes S85	0.25	cellobiose	*
KCAT	Fibrobacter succinogenes subsp. succinogenes S85	6.21	cellotriose	*
KCAT	Paenibacillus curdlanolyticus	8	Barley beta-glucan	*at pH 6.0, temperature not specified in the publication
KCAT	Fibrobacter succinogenes subsp. succinogenes S85	16.3	cellohexaose	*
KCAT	Fibrobacter succinogenes subsp. succinogenes S85	16.4	cellopentaose	*
KCAT	Fibrobacter succinogenes subsp. succinogenes S85	18.6	cellotetraose	*
KCAT	Trichoderma reesei	32	cellobiose	*
KCAT	uncultured bacterium	69.6	4-nitrophenyl beta-D-cellobioside	*at 65&deg;C in pH 5.5 citrate buffer
KCAT	uncultured rumen bacterium	126.6	4-nitrophenyl beta-D-glucopyranoside	*pH 4.6, 40&deg;C
KCAT	uncultured rumen bacterium	203	4-nitrophenyl beta-D-glucopyranoside	*pH 4.6, 42&deg;C
KCAT	Stereum hirsutum	281	cellobiose	*in 100 mM sodium acetate buffer (pH 4.5), at 65&deg;C
KCAT	Stereum hirsutum	4945	4-nitrophenyl beta-D-glucopyranoside	*in 100 mM sodium acetate buffer (pH 4.5), at 65&deg;C
KM	Aspergillus niger	0.461	cellobiose	*at 40&Acirc;&ordm;C, pH 4.9
KM	Pseudomonas fluorescens	1.2	cellobiose	*
KM	Aspergillus niger	1.26	cellobiose	*at 50&Acirc;&ordm;C, pH 4.9
KM	Hordeum vulgare	2.67	cellobiose	*
KM	Aspergillus niger	2.89	cellobiose	*at 60&Acirc;&ordm;C, pH 4.9
KM	Clostridium cellulovorans	2.9	cellobiose	*
KM	Aspergillus niger	3.12	cellobiose	*at 70&Acirc;&ordm;C, pH 4.9
KM	Aspergillus niger	6.82	cellobiose	*value extrapolated to 70&Acirc;&ordm;C
KM	Vibrio cholerae serotype O1	6.96	cellobiose	*pH 6.5, at 37&Acirc;&ordm;C
KM	Talaromyces funiculosus	10	cellobiose	*
KM	Ruminococcus albus	12.5	cellobiose	*
KM	Prevotella ruminicola	13.5	cellobiose	*
KM	Ruminococcus albus	26	cellobiose	*
KM	Fibrobacter succinogenes subsp. succinogenes S85	28	cellobiose	*
KM	Stereum hirsutum	86	cellobiose	*in 100 mM sodium acetate buffer (pH 4.5), at 65&Acirc;&deg;C
KM	uncultured rumen bacterium	0.22	4-nitrophenyl beta-D-glucopyranoside	*pH 4.6, 42&Acirc;&deg;C
KM	uncultured rumen bacterium	1.06	4-nitrophenyl beta-D-glucopyranoside	*pH 4.6, 40&Acirc;&deg;C
KM	Stereum hirsutum	2.5	4-nitrophenyl beta-D-glucopyranoside	*in 100 mM sodium acetate buffer (pH 4.5), at 65&Acirc;&deg;C
KM	Talaromyces funiculosus	0.44	cellotriose	*
KM	Hordeum vulgare	0.97	cellotriose	*
KM	Fibrobacter succinogenes subsp. succinogenes S85	1.5	cellotriose	*
KM	Clostridium cellulovorans	1.7	cellotriose	*
KM	Komagataeibacter xylinus	3.7	cellotriose	*
KM	Ruminococcus albus	8.7	cellotriose	*
KM	Talaromyces funiculosus	0.77	cellotetraose	*
KM	Hordeum vulgare	0.89	cellotetraose	*
KM	Clostridium cellulovorans	1.1	cellotetraose	*
KM	Fibrobacter succinogenes subsp. succinogenes S85	1.21	cellotetraose	*
KM	Ruminococcus albus	6.7	cellotetraose	*
KM	Talaromyces funiculosus	0.37	cellopentaose	*
KM	Hordeum vulgare	0.41	cellopentaose	*
KM	Fibrobacter succinogenes subsp. succinogenes S85	0.9	cellopentaose	*
KM	Ruminococcus albus	6	cellopentaose	*
KM	Nakazawaea wickerhamii	2.8	p-nitrophenyl-beta-D-glucopyranoside	*
KM	Ruminococcus albus	4	p-nitrophenyl-beta-D-glucopyranoside	*
KM	Prevotella ruminicola	10.7	gentiobiose	*
KM	Prevotella ruminicola	5	arbutin	*
KM	Pseudomonas fluorescens	0.028	cellohexaose	*
KM	Hordeum vulgare	0.29	cellohexaose	*
KM	Fibrobacter succinogenes subsp. succinogenes S85	0.73	cellohexaose	*
KM	Prevotella ruminicola	0.42	p-nitrophenyl-beta-D-glucoside	*
KM	Ruminococcus albus	2.2	p-nitrophenyl-beta-D-glucoside	*
KM	Talaromyces funiculosus	127	cellulose	*H3OP4 swollen
KM	Ruminococcus albus	0.7	p-nitrophenyl-beta-D-cellobioside	*
KM	Cellulomonas fimi	0.7	p-nitrophenyl-beta-D-cellobioside	*
KM	uncultured bacterium	1.74	4-nitrophenyl beta-D-cellobioside	*at 65&Acirc;&deg;C in pH 5.5 citrate buffer
KM	Talaromyces funiculosus	0.77	o-nitrophenyl beta-D-glucopyranoside	*
KM	Vibrio cholerae serotype O1	0.45	p-nitrophenyl glucoside	*pH 6.5, at 37&Acirc;&ordm;C
KM	Talaromyces funiculosus	-999	more	*Walseth cellulose 10 mg/ml, cellopentaose 0.83 mg/ml, cellotriose 0.55 mg/ml, cellotriose 0.55 mg/ml
KM	Hordeum vulgare	-999	more	*laminarioligosaccharide degree of polymerization 2, 5.37, laminarioligosaccharide degree of polymerization 3, 2.77, laminarioligosaccharide degree of polymerization 4, 0.52
KM	Ruminiclostridium papyrosolvens	-999	more	*cellobiose 15 mg/ml
KM	Aspergillus niger	-999	more	*Michaelis-Menten kinetic
KM	Chaetomium globosum	0.65	alpha-cellulose	*pH 5.0
MW	Trichoderma reesei	-999	*	*70000 g/mol
MW	Thermomonospora sp.	14200	*	*x * 14200, SDS-PAGE
MW	Talaromyces funiculosus	20000	*	*x * 20000, SDS-PAGE
MW	Caldicellulosiruptor bescii	23000	*	*23000, SDS-PAGE
MW	Thermotoga maritima	29000	*	*x * 29000, SDS-PAGE
MW	uncultured bacterium	38400	*	*x * 38400, calculated from amino acid sequence
MW	uncultured bacterium	40000	*	*x * 40000, SDS-PAGE
MW	Irpex lacteus	42000	*	*P-42, SDS-PAGE
