KCAT	Bacillus licheniformis	555.8	potato galactan	*at pH 6.0 and 40&Acirc;&deg;C
MW	Sclerotinia sclerotiorum	22000	*	*gel filtration
MW	Bacillus subtilis	32000	*	*galactanase III, gel filtration
MW	Aspergillus niger	32000	*	*
MW	Penicillium citrinum	35000	*	*
MW	Bacillus subtilis	35000	*	*galactanase I, gel filtration
MW	Bacillus subtilis	36000	*	*galactanase II, gel filtration
MW	Bacillus sp. (in: Bacteria)	36000	*	*S-2
MW	Bacillus subtilis	37000	*	*sedimentation equilibrium
MW	Aspergillus aculeatus	38000	*	*Western blotting
MW	Aspergillus niger	38000	*	*SDS-PAGE
MW	Aspergillus aculeatus	38000	*	*gel filtration; SDS-PAGE, gel filtration
MW	Penicillium chrysogenum	38000	*	*x * 38000, native enzyme, SDS-PAGE, x * 78000, recombinant enzyme, SDS-PAGE
MW	Aspergillus sojae	39700	*	*1 * 39700 SDS-PAGE
MW	Aspergillus niger	42000	*	*x * 42000, recombinant enzyme, SDS-PAGE
MW	Aspergillus aculeatus	43000	*	*calculation from sequence of DNA
MW	Aspergillus aculeatus	44000	*	*recombinant enzyme
MW	Aspergillus aculeatus	44000	*	*
MW	Bacillus licheniformis	44000	*	*x * 44000, SDS-PAGE of mutant E263A
MW	Aspergillus niger	48500	*	*SDS-PAGE
MW	Thermotoga maritima	64000	*	*x * 64000, SDS-PAGE
MW	Fusarium roseum	66000	*	*gel filtration
MW	Penicillium chrysogenum	78000	*	*x * 38000, native enzyme, SDS-PAGE, x * 78000, recombinant enzyme, SDS-PAGE
SA	Penicillium chrysogenum	7.6	*	*purified recombinant enzyme, substrate lupin galactan, pH 5.0, 37&Acirc;&deg;C
SA	Aspergillus niger	12.3	*	*
SA	Thermotoga maritima	21.8	*	*
SA	Bacillus subtilis	46.4	*	*
SA	Bacillus subtilis	166	*	*galactanase I
SA	Bacillus subtilis	180	*	*galactanase III
SA	Bacillus subtilis	185	*	*
SA	Bacillus subtilis	199	*	*galactanase II
SA	Penicillium citrinum	224	*	*galactanase II
SA	Penicillium citrinum	238	*	*galactanase I
SA	Aspergillus sojae	660	*	*
SA	Bacillus subtilis	1790	*	*
SA	Aspergillus aculeatus	3059	*	*purified enzyme
SA	Aspergillus aculeatus	3060	*	*
SA	Aspergillus niger	6593	*	*
