KCAT	Homo sapiens	-999	more	*single-turnover excision kinetics of wild-type and mutant enzymes, overview
KM	Escherichia coli	0.000006	3-methyladenine residues in alkylated DNA	*pH 7.6, 37&Acirc;&deg;C, release of 3-methyladenine
KM	Escherichia coli	0.000014	3-methyladenine residues in alkylated DNA	*pH 7.8, 37&Acirc;&deg;C, release of 3-methyladenine
MW	Escherichia coli	19000	*	*sucrose densitiy gradient centrifugation
MW	Escherichia coli	19000	*	*gel filtration
MW	Escherichia coli	20000	*	*gel filtration
MW	Escherichia coli	21100	*	*
MW	Escherichia coli	21100	*	*deduced from the nucleotide sequence of the tag gene
MW	Escherichia coli	21100	*	*
MW	Escherichia coli	21100	*	*
MW	Escherichia coli	21100	*	*SDS-PAGE
MW	Micrococcus luteus	22000	*	*gel filtration, Svedberg equation
MW	Escherichia coli	22500	*	*SDS-PAGE
MW	Leptospira interrogans	22703	*	*x * 22703, calculated from amino acid sequence
MW	Bacillus cereus	28000	*	*x * 28000, AlkC, SDS-PAGE
SA	Micrococcus luteus	0.000242	*	*
SA	Escherichia coli	0.0073	*	*
SA	Escherichia coli	0.0093	*	*
