KM	Gadus morhua callarias	-999	more	*
MW	Anguilla japonica	52661	*	*x * 52661, calculated
MW	Oreochromis niloticus	53311	*	*x * 53311, calculated from sequence
MW	Oncorhynchus mykiss	55000	*	*2 * 55000, SDS-PAGE
MW	Katsuwonus pelamis	83000	*	*gel filtration
MW	Oncorhynchus mykiss	120000	*	*brain and eye enzyme, gel filtration
MW	Oreochromis niloticus	120000	*	*gel filtration
MW	Katsuwonus pelamis	120000	*	*gel filtration
MW	Oreochromis niloticus	450000	*	*dynamic light scattering, both in presence and absence of Mn2+, recombinant protein
PATH	*	beta-Alanine metabolism	*	*
PATH	*	Histidine metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Katsuwonus pelamis	0.13	*	*
SA	Katsuwonus pelamis	0.175	*	*
SA	Oncorhynchus mykiss	1.03	*	*brain
SA	Oncorhynchus mykiss	1.27	*	*eye
SA	Oreochromis niloticus	9.27	*	*
