KM	Arabidopsis thaliana	0.037	(Z)-1-(glutathion-S-yl)-N-hydroxy-2-phenylethan-1-imine	*pH not specified in the publication, temperature not specified in the publication
PATH	*	camalexin biosynthesis	*	*
PATH	*	glucosinolate biosynthesis from dihomomethionine	*	*
PATH	*	glucosinolate biosynthesis from hexahomomethionine	*	*
PATH	*	glucosinolate biosynthesis from homomethionine	*	*
PATH	*	glucosinolate biosynthesis from pentahomomethionine	*	*
PATH	*	glucosinolate biosynthesis from phenylalanine	*	*
PATH	*	glucosinolate biosynthesis from tetrahomomethionine	*	*
PATH	*	glucosinolate biosynthesis from trihomomethionine	*	*
PATH	*	glucosinolate biosynthesis from tryptophan	*	*
PATH	*	glucosinolate biosynthesis from tyrosine	*	*
