KCAT	Bacillus licheniformis	1.392	casein	*pH 8.0, 37&deg;C
KCAT	Aspergillus melleus	28.3	Acetyl-Ala methyl ester	*Aspergillus melleus
KCAT	Aspergillus sojae	28.9	Acetyl-Ala methyl ester	*Aspergillus sojae
KCAT	Aspergillus oryzae	41	benzoylarginine ethyl ester	*Aspergillus oryzae
KCAT	Aspergillus oryzae	43	acetyltyrosine ethyl ester	*Aspergillus oryzae
KCAT	Aspergillus sojae	1150	acetyl-(Ala)2 methyl ester	*Aspergillus sojae
KCAT	Aspergillus melleus	1540	acetyl-(Ala)3 methyl ester	*Aspergillus melleus
KCAT	Aspergillus melleus	1970	acetyl-(Ala)4 methyl ester	*Aspergillus melleus
KCAT	Aspergillus melleus	2000	acetyl-(Ala)2 methyl ester	*Aspergillus melleus
KCAT	Aspergillus sojae	2090	acetyl-(Ala)4 methyl ester	*Aspergillus sojae
KCAT	Aspergillus oryzae	2850	acetyl-(Ala)3 methyl ester	*Aspergillus oryzae
KCAT	Aspergillus sojae	3720	acetyl-(Ala)3 methyl ester	*Aspergillus sojae
KM	Aspergillus melleus	-999	more	*
KM	Aspergillus sojae	-999	more	*
KM	Aspergillus oryzae	-999	more	*
KM	Aspergillus oryzae	-999	more	*
KM	Aspergillus oryzae	-999	more	*Km for the immobilized enzyme is 1.5fold higher than for the free enzyme
KM	Aspergillus terreus	-999	more	*Km for casein is 5.4 mg/ml
KM	Aspergillus tamarii	-999	more	*thermodynamic and kinetic studies, simultaneous occurrence of a reversible equilibrium of enzyme unfolding, which is pushed to the right by a temperature increase, estimation of the activation energy of the hydrolysis reaction catalyzed by crude extract and purified protease as well as the respective standard enthalpy variations of reversible enzyme unfolding, overview
KM	Aspergillus oryzae	-999	more	*casein gives a Vmax of 141.1 ng/min and a Km of 2432 ng/ml
KM	Bacillus licheniformis	-999	more	*Km and Vmax values of the protease enzyme purified from strain A10 are 0.033 mg/ml and 8.17 mmol/ml/min, respectively, with casein as substrate
KM	Streptomyces sp. M30	-999	more	*Km and Vmax values are estimated to be 35.7 mg/ml, and 5 &times; 104 U/mg for casein, Michaelis-Menten kinetics are calculated using Lineweaver-Burk double-reciprocal plots
KM	Aspergillus oryzae	-999	more	*Michaelis-Menten kinetics, overview
KM	Aspergillus melleus	4.7	acetyl-(Ala)4 methyl ester	*Aspergillus melleus
KM	Aspergillus melleus	6.7	acetyl-(Ala)3 methyl ester	*Aspergillus melleus
KM	Aspergillus sojae	6.7	acetyl-(Ala)3 methyl ester	*acetyl-(Ala)2-Phe methyl ester, Aspergillus sojae
KM	Aspergillus sojae	7	acetyl-(Ala)4 methyl ester	*Aspergillus sojae
KM	Aspergillus oryzae	7.1	benzoyl-arginine ethyl ester	*Aspergillus oryzae
KM	Aspergillus oryzae	12.8	acetyl-tyrosine ethyl ester	*Aspergillus oryzae
KM	Aspergillus sojae	13.5	Acetyl-Ala-Phe methyl ester	*Aspergillus sojae
KM	Aspergillus oryzae	20.8	acetyl-(Ala)3 methyl ester	*Aspergillus oryzae
KM	Aspergillus sojae	23	Acetyl-Phe methyl ester	*Aspergillus sojae
KM	Aspergillus sojae	32.1	acetyl-(Ala)3 methyl ester	*Aspergillus sojae
