KCAT	Homo sapiens	3.1	Benzyloxycarbonyl-Lys-thiobenzyl ester	*human granzyme A
KCAT	Homo sapiens	5.83	benzyloxycarbonyl-Gly-Arg thiobenzyl ester	*human granzyme A
KCAT	Mus musculus	59	benzyloxycarbonyl-Gly-Arg thiobenzyl ester	*mouse enzyme
KCAT	Mus musculus	21	benzyloxycarbonyl-Lys thiobenzyl ester	*mouse enzyme
KCAT	Homo sapiens	8.8	benzyloxycarbonyl-Arg thiobenzyl ester	*human granzyme A
KCAT	Mus musculus	83	benzyloxycarbonyl-Arg thiobenzyl ester	*mouse enzyme
KCAT	Homo sapiens	30360	Z-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Homo sapiens	30400	Z-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Homo sapiens	22100	Z-Lys-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Homo sapiens	22140	Z-Lys-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Mus musculus	45	tert-butyloxycarbonyl-Ala-Ala-Arg thiobenzyl ester	*mouse enzyme
KCAT	Homo sapiens	3960	Boc-Trp-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Homo sapiens	4980	Boc-Ala-Ala-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KCAT	Homo sapiens	-999	more	*
KCAT	Mus musculus	-999	more	*
KM	Homo sapiens	0.105	benzyloxycarbonyl-Gly-Arg thiobenzyl ester	*human granzyme A
KM	Mus musculus	0.16	benzyloxycarbonyl-Gly-Arg thiobenzyl ester	*mouse enzyme
KM	Mus musculus	0.13	benzyloxycarbonyl-Lys thiobenzyl ester	*mouse enzyme
KM	Homo sapiens	0.19	benzyloxycarbonyl-Lys thiobenzyl ester	*human granzyme A
KM	Homo sapiens	0.12	benzyloxycarbonyl-Arg thiobenzyl ester	*human granzyme A
KM	Mus musculus	0.315	benzyloxycarbonyl-Arg thiobenzyl ester	*mouse enzyme
KM	Homo sapiens	0.177	Z-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KM	Homo sapiens	0.767	Z-Lys-SBzl	*pH 7.5, 30&Acirc;&deg;C
KM	Mus musculus	0.14	tert-butyloxycarbonyl-Ala-Ala-Arg thiobenzyl ester	*mouse enzyme
KM	Homo sapiens	0.17	Boc-Trp-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
KM	Homo sapiens	0.887	Boc-Ala-Ala-Arg-SBzl	*pH 7.5, 30&Acirc;&deg;C
MW	Homo sapiens	21000	*	*gel filtration
MW	Homo sapiens	25820	*	*x * 25820, human, unglycosylated protein, calculated from nucleotide sequence
MW	Mus musculus	30000	*	*x * 60000, mouse, SDS-PAGE under nonreducing condition, x * 30000, SDS-PAGE under reducing condition, mouse
MW	Mus musculus	60000	*	*x * 60000, mouse, SDS-PAGE under nonreducing condition, x * 30000, SDS-PAGE under reducing condition, mouse
SA	Mus musculus	-999	*	*
SA	Homo sapiens	-999	*	*RNA accumulation and immunohistochemistry of granzyme A investigated; RNA accumulation and immunohistochemistry of granzyme A investigated, application of Laser capture dissection (LCM) to analyse accumulation of granzyme A in specific lung tissue
SA	Homo sapiens	-999	*	*detection of extracellular granzyme A during disease reviewed, elevated levels during viral and bacterial infection, arthritis and other diseases
SA	Rattus norvegicus	-999	*	*measurement of granzyme A activity in large intestinal mucosal extracts of rats described
SA	Mus musculus	-999	*	*enzymatic activity of granzyme A measured in lysates of CD8+ tumor associated lymphocytes of interleukin 4-deficient and wild-type BALB/c mice, significant increase in the fraction of CD8+ tumor associated T-cells expressing granzyme A identified, in interleukin 4-deficient mice, the frequency of CD8+ tumor associated lymphocytes expressing granzyme A significantly increases between days 8 and 14, expression at background levels by day 21, increase in the percentage of CD8+ tumor associated lymphocytes expressing granzyme A less pronounced in wild-type mice
SA	Homo sapiens	-999	*	*constitutive expression in human PMNs shown by flow cytometry, Western blot, enzyme-linked immunosorbent assay and quantitative RT-PCR, up-regulation upon PMN stimulation shown; expression shown by flow cytometry, Western blot, enzyme-linked immunosorbent assay and quantitative RT-PCR, up-regulation of expression upon stimulation shown; expression shown by flow cytometry, Western blot, enzyme-linked immunosorbent assay and quantitative RT-PCR, up-regulation upon stimulation shown
SA	Homo sapiens	-999	*	*ability of human and mouse granzyme A to kill human or mouse cells in the presence of perforin analyzed by standard MTT-assay and by 51Cr-release assay, recombinant and native proteins tested, cytotoxic potential between mouse and human granzyme A different; ability of human and mouse granzyme A to kill human or mouse cells in the presence of perforin analyzed, recombinant and native proteins tested, cytotoxic potential between mouse and human granzyme A different
SA	Mus musculus	-999	*	*ability of human and mouse granzyme A to kill human or mouse cells in the presence of perforin analyzed, recombinant and native proteins tested, cytotoxic potential between mouse and human granzyme A different, mouse but not human granzyme A induces perforin-dependent cell death
SA	Homo sapiens	-999	*	*glucocorticoid sensitivity among cell lines derived from acute lymphoblastic leukemia patients analyzed, correlation between glucocorticoid-induced apoptosis and glucocorticoid-induced mRNA expression of granzyme A shown
SA	Homo sapiens	-999	*	*studies on a corelation between the heterozygous missense mutation D18N in the 3'-5' DNA repair exonuclease TREX1 and the autoimmune disease chilblain lupus, granzyme A-mediated cytotoxicity assay described, less sensitivity to granzyme A-mediated cell death in cells carrying the D18N mutation of the 3'-5' DNA repair exonuclease TREX1 identified, association between loss of TREX1 enzyme activity and impaired granzyme A-mediated apoptosis demonstrated
