KM	Homo sapiens	0.2	gamma-secretase cleavage site of notch	*pH 6.5, 37&Acirc;&deg;C
MW	Homo sapiens	50000	*	*non-glycosylated, SDS-PAGE
MW	Homo sapiens	55000	*	*non-glycosylated, SDS-PAGE
MW	Mus musculus	56000	*	*SDS-PAGE
MW	Homo sapiens	60000	*	*glycosylated, SDS-PAGE, present in muscle biopsies, but not in cultured fibers
MW	Homo sapiens	60000	*	*x * 60000, SDS-PAGE, enzyme expressed in HEK 293
MW	Homo sapiens	62000	*	*non glycosylated, SDS-PAGE
MW	Homo sapiens	62000	*	*glycosylated, SDS-PAGE
MW	Homo sapiens	65000	*	*glycosylated, SDS-PAGE
MW	Rattus norvegicus	73000	*	*x * 73000, SDS-PAGE, brain sample
SA	Homo sapiens	0.015	*	*pro-BACE2-T1
