KM	Mus sp.	0.009	oleamide	*
KM	Rattus norvegicus	0.025	N-oleoylethanolamine	*mitochondrial enzyme
KM	Homo sapiens	0.021	N-palmitoylethanolamine	*recombinant enzyme, pH not specified in the publication, 37&Acirc;&deg;C
KM	Homo sapiens	0.021	palmitoylethanolamide	*pH 4.5, 37&Acirc;&deg;C
KM	Homo sapiens	0.0062	N-(4-methylcoumarin)palmitamide	*pH 4.5, 37&Acirc;&deg;C
KM	Homo sapiens	0.0062	N-(4-methylcoumarin)palmitamide	*recombinant enzyme, pH not specified in the publication, 37&Acirc;&deg;C
KM	Homo sapiens	-999	more	*Michaelis-Menten kinetics
KM	Rattus norvegicus	-999	more	*Michaelis-Menten kinetic analysis
MW	Homo sapiens	10972	*	*1 * 10972, deglycosylated alpha-subunit, + 1 * 29659, deglycosylated beta-subunit, mass spectrometry, 1 * 14600 + 1 * 33000, alpha/beta heterodimer, SDS-PAGE
MW	Homo sapiens	14600	*	*1 * 10972, deglycosylated alpha-subunit, + 1 * 29659, deglycosylated beta-subunit, mass spectrometry, 1 * 14600 + 1 * 33000, alpha/beta heterodimer, SDS-PAGE
MW	Homo sapiens	29659	*	*1 * 10972, deglycosylated alpha-subunit, + 1 * 29659, deglycosylated beta-subunit, mass spectrometry, 1 * 14600 + 1 * 33000, alpha/beta heterodimer, SDS-PAGE
MW	Homo sapiens	33000	*	*1 * 10972, deglycosylated alpha-subunit, + 1 * 29659, deglycosylated beta-subunit, mass spectrometry, 1 * 14600 + 1 * 33000, alpha/beta heterodimer, SDS-PAGE
MW	Homo sapiens	40593	*	*1 * 40593, deglycosylated zymogen, mass spectrometry
MW	Homo sapiens	45000	*	*gel filtration
