KM	Pseudomonas aeruginosa	-999	more	*Michelis-Menten kinetics of isozyme APAH1 and APAH2 differ, overview; Michelis-Menten kinetics of isozyme APAH1 and APAH2 differ, overview
KM	Pseudomonas aeruginosa	0.011	Boc-Lys-(Tfa)-AMC	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.022	Boc-Lys-(Ac)-AMC	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.084	Boc-Lys-(Tfa)-AMC	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.223	Boc-Lys-(Ac)-AMC	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.284	Acetylcadaverine	*pH 8.0, 30&deg;C
KM	Micrococcus luteus	0.321	N-acetylputrescine	*
KM	Micrococcus luteus	0.377	N8-Acetylspermidine	*
KM	Pseudomonas aeruginosa	0.411	acetylputrescine	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.465	Acetylcadaverine	*pH 8.0, 30&deg;C
KM	Pseudomonas aeruginosa	0.503	acetylputrescine	*pH 8.0, 30&deg;C
MW	Micrococcus luteus	115000	*	*gel filtration
PATH	*	Arginine and proline metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Micrococcus luteus	0.48	*	*substrate: acetylputrescine
