KM	Bacteroides vulgatus	-999	more	*kinetic properties
MW	Bacteroides vulgatus	36000	*	*4 * 36000, SDS-PAGE
MW	Bacteroides vulgatus	140000	*	*gel filtration
PATH	*	bile acids degradation	*	*
PATH	*	Secondary bile acid biosynthesis	*	*
SA	Bacteroides vulgatus	0.11	*	*substrate: tauro-7beta-cholic acid
SA	Bacteroides vulgatus	0.69	*	*substrate: taurocholic acid
SA	Bacteroides vulgatus	5.86	*	*substrate: taurohyocholic acid
SA	Bacteroides vulgatus	7.56	*	*substrate: taurodeoxycholic acid
SA	Bacteroides vulgatus	8.74	*	*substrate: taurohyodeoxycholic acid
SA	Bacteroides vulgatus	13.68	*	*substrate: tauroursodeoxycholic acid
SA	Bacteroides vulgatus	15.15	*	*substrate: tauro-beta-muricholic acid
SA	Bacteroides vulgatus	24.45	*	*substrate: taurochenodeoxycholic acid
