KM	Pseudomonas sp.	6.67	N-Acetyl-D-Glu	*
MW	Pseudomonas sp.	44000	*	*gel filtration
MW	Pseudomonas sp.	44000	*	*gel filtration
MW	Pseudomonas sp.	49000	*	*gel filtration
MW	Achromobacter xylosoxidans	51490	*	*x * 51490, calculation from nucleotide sequence
MW	Pseudomonas sp.	55000	*	*1 * 55000, SDS-PAGE
MW	Pseudomonas sp.	55000	*	*1 * 55000, SDS-PAGE
MW	Achromobacter xylosoxidans	59000	*	*x * 59000, SDS-PAGE
MW	Pseudomonas sp.	59000	*	*1 * 59000, SDS-PAGE
SA	Achromobacter xylosoxidans	-999	*	*
SA	Achromobacter xylosoxidans	38.1	*	*soluble recombinant enzyme from expression without chaperones and trigger factor
SA	Achromobacter xylosoxidans	95.8	*	*soluble recombinant enzyme from co-expression with chaperones and trigger factor
SA	Pseudomonas sp.	589	*	*
SA	Pseudomonas sp.	1100	*	*
