KM	Arthrobacter pascens	-999	more	*bisubstrate kinetic analysis using formate and benzylamine, overview
KM	Arthrobacter pascens	0.067	N-benzylformamide	*25&deg;C, pH 7.5, recombinant enzyme
KM	Arthrobacter pascens	0.075	N-benzylformamide	*
KM	Arthrobacter pascens	0.075	N-benzylformamide	*pH 7.5, 25&deg;C
KM	Arthrobacter pascens	7.5	N-butylformamide	*
KM	Arthrobacter pascens	53.6	benzylamine	*pH 7.0, 25&deg;C
KM	Arthrobacter pascens	1210	acetate	*pH 7.0, 25&deg;C
KM	Arthrobacter pascens	3010	formate	*pH 7.0, 25&deg;C
KM	Arthrobacter pascens	3850	propionate	*pH 7.0, 25&deg;C
MW	Arthrobacter pascens	58773	*	*2 * 58773, MALDI-TOF mass spectroscopy
MW	Arthrobacter pascens	61000	*	*2 * 61000, SDS-PAGE
MW	Arthrobacter pascens	61000	*	*2 * 61000, SDS-PAGE
MW	Arthrobacter pascens	121000	*	*gel filtration
SA	Arthrobacter pascens	28.8	*	*
SA	Arthrobacter pascens	28.9	*	*
