KCAT	Pseudomonas putida	1330	1,4-Diguanidinobutane	*per subunit
KM	Pseudomonas putida	0.23	1,8-Diguanidinooctane	*
KM	Pseudomonas putida	0.24	1,7-Diguanidinoheptane	*
KM	Pseudomonas putida	0.33	1,6-Diguanidinohexane	*
KM	Pseudomonas putida	0.5	1,5-Diguanidinopentane	*
KM	Pseudomonas putida	0.65	1,4-Diguanidinobutane	*
KM	Pseudomonas putida	0.7	1,4-Diguanidinobutane	*
KM	Pseudomonas putida	0.91	1,3-diguanidinopropane	*
KM	Pseudomonas putida	1	1-amino-7-guanidinoheptane	*
KM	Pseudomonas putida	1.3	1-amino-6-guanidinohexane	*
KM	Pseudomonas putida	2.5	1-amino-5-guanidinopentane	*
KM	Pseudomonas putida	3	agmatine	*
MW	Pseudomonas putida	170000	*	*gel filtration
