KCAT	Pseudomonas putida	1.19	1-pyrroline-4-hydroxy-2-carboxylate	*at pH 8.0 and 30&Acirc;&deg;C
KM	Pseudomonas putida	0.693	1-pyrroline-4-hydroxy-2-carboxylate	*at pH 8.0 and 30&deg;C
KM	Pseudomonas putida	1.4	1-pyrroline-4-hydroxy-2-carboxylate	*
MW	Pseudomonas putida	35000	*	*8 * 35000, His6-tagged protein, SDS-PAGE
MW	Pseudomonas putida	35342	*	*8 * 35342, calculated from amino acid sequence
MW	Pseudomonas putida	62000	*	*ultracentrifugation
MW	Pseudomonas putida	62000	*	*ultracentrifugation
MW	Pseudomonas putida	275000	*	*gel filtration
PATH	*	Arginine and proline metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	trans-4-hydroxy-L-proline degradation II	*	*
SA	Pseudomonas putida	4.78	*	*
SA	Pseudomonas putida	4.78	*	*
