KM	Salmonella enterica subsp. enterica serovar Typhimurium	0.022	N-1-(5'-phosphoribosyl)-ATP	*
MW	Arabidopsis sp.	31670	*	*calculated from amino acid sequence
MW	Salmonella enterica subsp. enterica serovar Typhimurium	43000	*	*sucrose density gradient centrifugation
MW	Saccharomyces cerevisiae	95000	*	*SDS-PAGE
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Histidine metabolism	*	*
PATH	*	histidine metabolism	*	*
PATH	*	L-histidine biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
SA	Salmonella enterica subsp. enterica serovar Typhimurium	0.003	*	*
SA	Saccharomyces cerevisiae	332	*	*purified enzyme
