KCAT	Saccharomyces cerevisiae	0.85	ATP	*higher order oligomer of the enzyme, pH and temperature not specified in the publication
KM	Rattus norvegicus	0.62	MgATP2-	*
KM	Cricetulus griseus	-999	more	*Michaelis-Menten kinetics
MW	Helicoverpa armigera	28000	*	*NSF D1 ATPase domain, determined by SDS-PAGE
MW	Mus musculus	39000	*	*apo-form, Guinier analysis
MW	Saccharolobus solfataricus	42248	*	*2 * 42248, calculated from sequence, the enzyme rapidly interconverts between multiple oligomeric states, it interconverts between dimers and hexamers in the presence of adenosine nucleotides; 6 * 42248, calculated from sequence, the enzyme rapidly interconverts between multiple oligomeric states, it interconverts between dimers and hexamers in the presence of adenosine nucleotides
MW	Saccharomyces cerevisiae	48000	*	*predicted from amino acid sequence
MW	Saccharomyces cerevisiae	48000	*	*predicted from amino acid sequence
MW	Saccharomyces cerevisiae	48100	*	*predicted from amino acid sequence
MW	Arabidopsis thaliana	48500	*	*predicted molecular mass
MW	Arabidopsis thaliana	50000	*	*recombinant protein, determined by SDS-PAGE and immunoblot analysis
MW	Mus musculus	50000	*	*ADP-bound form, Guinier analysis
MW	Saccharomyces cerevisiae	60000	*	*recombinant enzyme, purified from E. coli, gel filtration
MW	Saccharomyces cerevisiae	85000	*	*mutant Vps4pdeltaCC/E233Q, gel filtration
MW	Rattus norvegicus	89000	*	*
MW	Saccharomyces cerevisiae	95000	*	*Vps4p, gel filtration
MW	Homo sapiens	97000	*	*monomer form of p97, SDS-PAGE
MW	Homo sapiens	143000	*	*Pex1p
MW	Mus musculus	148000	*	*ATP-bound form, Guinier analysis
MW	Saccharomyces cerevisiae	245000	*	*gel filtration
MW	Homo sapiens	300000	*	*high-molecular weight form of p97, SDS-PAGE
MW	Komagataella pastoris	320000	*	*heterodimeric PpPex1p-PpPex6p complex
MW	Saccharomyces cerevisiae	400000	*	*mutant Vps4pdeltaCC/E233Q, gel filtration
MW	Saccharomyces cerevisiae	440000	*	*mutant Vps4pE233Q, gel filtration
SA	Xenopus laevis	0.083	*	*
SA	Rattus norvegicus	0.3	*	*p97
SA	Saccharomyces cerevisiae	0.45	*	*Vps4p
SA	Xenopus laevis	0.72	*	*
SA	Saccharomyces cerevisiae	1.56	*	*cdc48
