KCAT	Thauera aromatica	-999	6-oxocyclohex-1-ene-1-carbonyl-CoA	*0.9/s per subunit
KM	Geobacter metallireducens	0.07	6-oxocyclohex-1-ene-1-carbonyl-CoA	*in 50 mM potassium phosphate buffer (pH 7.0), at 30&Acirc;&deg;C
KM	Syntrophus aciditrophicus	0.115	6-oxocyclohex-1-ene-1-carbonyl-CoA	*in 50 mM potassium phosphate buffer (pH 7.0), at 30&Acirc;&deg;C
MW	Thauera aromatica	40000	*	*4 * 40000, SDS-PAGE
MW	Geobacter metallireducens	41900	*	*6 * 41900, calculated from amino acid sequence
MW	Geobacter metallireducens	43000	*	*6 * 43000, SDS-PAGE
MW	Syntrophus aciditrophicus	43000	*	*6 * 43000, SDS-PAGE
MW	Syntrophus aciditrophicus	43100	*	*6 * 43100, calculated from amino acid sequence
MW	Thauera aromatica	170000	*	*
MW	Geobacter metallireducens	240000	*	*gel filtration
MW	Syntrophus aciditrophicus	265000	*	*gel filtration
PATH	*	Benzoate degradation	*	*
PATH	*	benzoyl-CoA degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Syntrophus aciditrophicus	0.5	*	*in 50 mM potassium phosphate buffer (pH 7.0), at 30&Acirc;&deg;C
SA	Thauera aromatica	1.3	*	*pH 7.4, 37&Acirc;&deg;C, substrate: 6-oxocyclohex-1-ene-1-carbonyl-CoA
SA	Geobacter metallireducens	2	*	*in 50 mM potassium phosphate buffer (pH 7.0), at 30&Acirc;&deg;C
