KM	Homo sapiens	0.0046	Acetylpyruvate	*pH 7.4, 22&Acirc;&deg;C, recombinant wild-type FAHD1
KM	Agrobacterium sp.	0.007	2,4-Dioxoheptanoate	*
KM	Agrobacterium sp.	0.007	2,4-Dioxohexanoate	*
KM	Agrobacterium sp.	0.011	2,4-Dioxovalerate	*
KM	Agrobacterium sp.	0.002	3-formylpyruvate	*
MW	Homo sapiens	28000	*	*x * 28000, SDS-PAGE
MW	Agrobacterium sp.	72000	*	*gel filtration
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Tyrosine metabolism	*	*
SA	Homo sapiens	0.014	*	*pH 7.4, 22&deg;C, purified recombinant wild-type FAHD1, substrate acetylpyruvate
