KM	Pseudomonas putida	0.82	4-carboxymuconolactone	*
MW	Acinetobacter calcoaceticus	-999	*	*homologies in the NH2-terminal amino acid sequences of gamma-carboxymuconolactone decarboxylases and muconolactone isomerases, ec 5.3.3.4
MW	Pseudomonas putida	-999	*	*homologies in the NH2-terminal amino acid sequences of gamma-carboxymuconolactone decarboxylases and muconolactone isomerases, ec 5.3.3.4
MW	Acinetobacter calcoaceticus	13300	*	*6 * 13300
MW	Pseudomonas putida	13300	*	*6 * 13300
MW	Saccharolobus solfataricus	15950	*	*caculated value
MW	Acinetobacter calcoaceticus	85500	*	*gel filtration
MW	Pseudomonas putida	85500	*	*gel filtration
MW	Pseudomonas putida	93000	*	*
PATH	*	4-hydroxymandelate degradation	*	*
PATH	*	Benzoate degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	protocatechuate degradation II (ortho-cleavage pathway)	*	*
SA	Acinetobacter calcoaceticus	-999	*	*
SA	Azotobacter vinelandii	-999	*	*
SA	Acinetobacter calcoaceticus	-999	*	*
