KM	Escherichia coli	0.032	5-oxopent-3-ene-1,2,5-tricarboxylate	*
MW	Escherichia coli	27000	*	*gel filtration
MW	Escherichia coli	42100	*	*sedimentation equilibrium centrifugation
MW	Escherichia coli	44514	*	*1 * 44514, calculation from nucleotide sequence
MW	Escherichia coli	50000	*	*1 * 50000, SDS-PAGE
PATH	*	4-hydroxyphenylacetate degradation	*	*
PATH	*	4-hydroxyphenylacetate degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	Tyrosine metabolism	*	*
SA	Escherichia coli	45	*	*
