KM	Methanocaldococcus jannaschii	0.64	sulfopyruvate	*
MW	Methanocaldococcus jannaschii	17000	*	*alpha6beta6, 6 * 17000 + 6 * 23000, SDS-PAGE
MW	Methanocaldococcus jannaschii	23000	*	*alpha6beta6, 6 * 17000 + 6 * 23000, SDS-PAGE
MW	Methanosarcina acetivorans	42300	*	*calculated from amino acid sequence
MW	Methanosarcina acetivorans	43000	*	*refolded MA3298 protein, SDS-PAGE
MW	Methanosarcina acetivorans	103000	*	*NusA-tagged MA3298 protein, SDS-PAGE
MW	Methanocaldococcus jannaschii	210000	*	*gel filtration
MW	Roseovarius nubinhibens	235000	*	*native protein with alpha6beta6-structure, determined by gel filtration
PATH	*	coenzyme M biosynthesis	*	*
PATH	*	coenzyme M biosynthesis I	*	*
PATH	*	coenzyme M biosynthesis II	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Methane metabolism	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	sulfolactate degradation II	*	*
SA	Roseovarius nubinhibens	-999	*	*specific ComDE enzyme activity in extracts from cells grown with sulfolactate is 0.9 mkat/mg protein, 0 mM Tris-HCl (pH 7.5), 1 mM thiamine diphosphate, 1 to 5 mM sulfopyruvate, and protein (0.1-1.0 mg/ml)
