KM	Paracoccus denitrificans	0.4	D-erythro-3-hydroxyaspartate	*in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
MW	Paracoccus denitrificans	41633	*	*2 * 41633, calculated from amino acid sequence
MW	Paracoccus denitrificans	43000	*	*2 * 43000, SDS-PAGE
MW	Paracoccus denitrificans	80000	*	*gel filtration
SA	Paracoccus denitrificans	0.36	*	*after 50fold purification, using DL-threo-3-hydroxyaspartate as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	0.6	*	*crude extract, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	14.6	*	*after 50fold purification, using D-threo-3-3,4-methylenedioxyphenylserine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	17.5	*	*after 50fold purification, using D-erythro-3-3,4-methylenedioxyphenylserine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	20	*	*after 50fold purification, using D-threonine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	25	*	*after 50fold purification, using D-allo-threonine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	30	*	*after 50fold purification, using D-erythro-3-hydroxyaspartate as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	95	*	*after 50fold purification, using D-threo-3-phenylserine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
SA	Paracoccus denitrificans	99	*	*after 50fold purification, using D-erythro-3-phenylserine as substrate, in 0.02 mM HEPES buffer, pH 8.0, at 30&deg;C
