KCAT	Salmonella enterica	-999	more	*ThiC undergoes ThiC undergoes steady-state turnover, and multiple turnovers with a 5fold molar excess of 5-amino-1-(5-phospho-D-ribosyl)imidazole
KM	Salmonella enterica	0.017	5-amino-1-(5-phospho-D-ribosyl)imidazole	*pH 8.0, 37&Acirc;&deg;C, recombinant His-tagged enzyme
MW	Arabidopsis thaliana	65451	*	*2 * 65451, recombinant His-tagged DELTAN71-AtTHIC mutant, mass spectrometry and crystal structure
MW	Escherichia coli	68000	*	*x * 68000, SDS-PAGE
MW	Salmonella enterica subsp. enterica serovar Typhimurium	70000	*	*
MW	Arabidopsis thaliana	71994	*	*x * 71994, calculated from sequence
MW	Arabidopsis thaliana	130000	*	*recombinant His-tagged DELTAN71-AtTHIC mutant, gel filtration
PATH	*	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Thiamine metabolism	*	*
PATH	*	vitamin B1 metabolism	*	*
