KCAT	Metallosphaera sedula	2.1	4-hydroxybutanoyl-CoA	*pH 8.0, 70&deg;C
KM	Clostridium aminobutyricum	0.05	4-hydroxybutanoyl-CoA	*pH 9.0, 25&Acirc;&deg;C
KM	Metallosphaera sedula	0.15	4-hydroxybutanoyl-CoA	*pH 8.0, 70&Acirc;&deg;C
MW	Clostridium aminobutyricum	56000	*	*4 * 56000, SDS-PAGE
MW	Clostridium kluyveri	59000	*	*4 * 59000, SDS-PAGE
MW	Clostridium aminobutyricum	232000	*	*gel filtration
MW	Clostridium kluyveri	237000	*	*gel filtration
PATH	*	3-hydroxypropanoate/4-hydroxybutanate cycle	*	*
PATH	*	4-aminobutanoate degradation V	*	*
PATH	*	Butanoate metabolism	*	*
PATH	*	Carbon fixation pathways in prokaryotes	*	*
PATH	*	CO2 fixation in Crenarchaeota	*	*
PATH	*	crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
PATH	*	succinate fermentation to butanoate	*	*
SA	Metallosphaera sedula	0.04	*	*65&Acirc;&deg;C
SA	Ignicoccus hospitalis	0.1	*	*40&Acirc;&deg;C, pH and temperature not specified in the publication
SA	Clostridium aminobutyricum	2.2	*	*purified recombinant wild-type enzyme, pH 7.4, 22&Acirc;&deg;C
SA	Clostridium aminobutyricum	4.5	*	*purified recombinant wild-type enzyme reconstituted with FeCl3 and Na2S, pH 7.4, 22&Acirc;&deg;C
SA	Clostridium kluyveri	7.38	*	*
SA	Clostridium aminobutyricum	12.5	*	*pH 9.0, 25&Acirc;&deg;C
