KCAT	Campylobacter jejuni	0.118	UDP-N-acetyl-alpha-D-glucosamine	*pH 7.7, 37&Acirc;&deg;C, full-length GST-PglF
KM	Campylobacter jejuni	7	UDP-N-acetyl-alpha-D-glucosamine	*pH 7.7, 37&deg;C, full-length GST-PglF
MW	Bacillus cereus	26700	*	*recombinant His6-tagged enzyme, gel filtration
MW	Campylobacter jejuni	93000	*	*SDS-PAGE, GST-PglF
PATH	*	2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-galactosyl-diphospho-ditrans,octacis-undecaprenol biosynthesis	*	*
PATH	*	Amino sugar and nucleotide sugar metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	UDP-N,N'-diacetylbacillosamine biosynthesis	*	*
PATH	*	UDP-N-acetyl-alpha-D-fucosamine biosynthesis	*	*
PATH	*	UDP-N-acetyl-alpha-D-quinovosamine biosynthesis	*	*
PATH	*	UDP-yelosamine biosynthesis	*	*
