KM	Neurospora sp.	-999	more	*Ks for standard substrates
KM	Saccharomyces cerevisiae	0.0216	dimethylcitraconate	*
KM	Saccharomyces cerevisiae	0.048	dimethylcitraconate	*crude enzyme preparation
KM	Neurospora crassa	0.078	alpha-hydroxy-beta-carboxyisocaproate	*
KM	Saccharomyces cerevisiae	0.083	citraconate	*crude enzyme preparation
KM	Neurospora crassa	0.18	dimethylcitraconate	*
KM	Candida maltosa	0.75	beta-carboxy-beta-hydroxyisocaproate	*
KM	Neurospora crassa	0.95	beta-carboxy-beta-hydroxyisocaproate	*
KM	Candida maltosa	1.79	citraconate	*crude enzyme preparation
KM	Candida maltosa	4.57	alpha-hydroxy-beta-carboxyisocaproate	*
MW	Neurospora crassa	-999	*	*complementation pair enzymes have higher molecular weights of 169000-185000
MW	Methanocaldococcus jannaschii	18000	*	*x * 46000 + x * 18000, SDS-PAGE
MW	Methanocaldococcus jannaschii	46000	*	*x * 46000 + x * 18000, SDS-PAGE
MW	Neurospora crassa	70000	*	*sucrose density gradient centrifugation
MW	Neurospora crassa	88500	*	*sucrose density gradient centrifugation, gel filtration
MW	Neurospora sp.	90000	*	*sucrose density gradient centrifugation, gel filtration
MW	Salmonella sp.	90000	*	*sucrose density gradient centrifugation, gel filtration
MW	Saccharomyces cerevisiae	90000	*	*sucrose density gradient centrifugation, gel filtration
MW	Saccharomyces cerevisiae	90000	*	*sucrose density gradient centrifugation, gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	leucine metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Valine, leucine and isoleucine biosynthesis	*	*
SA	Neurospora crassa	-999	*	*
SA	Candida maltosa	-999	*	*enzyme activity with citraconate 4.8-fold and 7.4-fold higher than with standard substrates
SA	Saccharomyces cerevisiae	6.18	*	*
SA	Neurospora crassa	6.2	*	*
SA	Neurospora sp.	12.3	*	*
SA	Neurospora crassa	54000	*	*
