KM	Aspergillus niger	-999	more	*Michaelis-Menten kinetics; Michaelis-Menten kinetics
KM	Klebsiella pneumoniae	0.9	D-galactonate	*
KM	Mycobacterium butyricum	1	D-galactonate	*
KM	Pseudomonas sp.	1.14	D-galactonate	*
KM	Pseudomonas sp.	1.14	D-galactonate	*
KM	Klebsiella pneumoniae	1.3	D-fuconate	*
KM	Aspergillus terreus	8.33	D-galactonate	*
KM	Aspergillus niger	8.9	D-galactonate	*pH 7, temperature not specified in the publication, Vmax: 8.52 nkat per mg of extracted protein
KM	Aspergillus niger	8.9	D-galactonate	*recombinant enzyme, pH 7.0, temperature not specified in the publication
KM	Aspergillus niger	21.74	D-galactonate	*pH 7, temperature not specified in the publication, Vmax: 2.21 nkat per mg of extracted protein
KM	Aspergillus niger	21.74	D-galactonate	*recombinant enzyme, pH 7.0, temperature not specified in the publication
MW	Klebsiella pneumoniae	46000	*	*6 * 46000, SDS-PAGE
MW	Pseudomonas sp.	57000	*	*4 * 57000, SDS-PAGE
MW	Pseudomonas sp.	240000	*	*gel filtration, sucrose density gradient centrifugation
MW	Pseudomonas sp.	240000	*	*
MW	Mycobacterium butyricum	270000	*	*gel filtration
MW	Mycobacterium sp.	270000	*	*
MW	Klebsiella pneumoniae	290000	*	*gel filtration
PATH	*	D-galactonate degradation	*	*
PATH	*	degradation of sugar acids	*	*
PATH	*	Galactose metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Mycobacterium butyricum	4.56	*	*
SA	Klebsiella pneumoniae	7.82	*	*
SA	Pseudomonas sp.	38	*	*
SA	Pseudomonas sp.	38	*	*
