KM	Microbacterium sp.	-999	more	*Km for levan: 2 mg/ml at pH 7.0 and 40&deg;C
MW	Microbacterium sp.	46000	*	*gel filtration
MW	Paenarthrobacter nicotinovorans	48000	*	*gel filtration
MW	Paenarthrobacter ureafaciens	51000	*	*2 * 51000, SDS-PAGE
MW	Paenarthrobacter nicotinovorans	52000	*	*1 * 52000, SDS-PAGE
MW	Microbacterium sp.	54000	*	*x * 54000, SDS-PAGE
MW	Paenarthrobacter ureafaciens	96000	*	*gel filtration
SA	Microbacterium sp.	-999	*	*
SA	Microbacterium sp.	145.2	*	*
SA	Pseudarthrobacter oxydans	1432	*	*
SA	Paenarthrobacter ureafaciens	2269	*	*
