KM	Methanocaldococcus jannaschii	9.8	phosphoenolpyruvate	*
MW	Methanocaldococcus jannaschii	28000	*	*3 * 32000, SDS-PAGE, 3 * 28000, deduced from gene sequence
MW	Methanocaldococcus jannaschii	32000	*	*3 * 32000, SDS-PAGE, 3 * 28000, deduced from gene sequence
MW	Methanocaldococcus jannaschii	86700	*	*gel filtration
PATH	*	coenzyme M biosynthesis	*	*
PATH	*	coenzyme M biosynthesis I	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Methane metabolism	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Methanocaldococcus jannaschii	2.4	*	*recombinant enzyme
SA	Xanthobacter autotrophicus	487	*	*pH 8.0, 30&Acirc;&deg;C
