KM	Arabidopsis thaliana	-999	more	*it is not possible to measure an accurate KM value for the metals as at low concentration of metal the assay is not sensitive enough, whereas at higher metal ion concentrations the enzyme is inactivated
MW	Arabidopsis thaliana	18600	*	*2 * 18600, estimated from SDS-PAGE
MW	Paracoccus pantotrophus	20000	*	*x * 20000, SDS-PAGE
MW	Bacillus megaterium	33000	*	*1 * 33000, SDS-PAGE
MW	Arabidopsis thaliana	36010	*	*calculated from gel filtration
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	heme metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
PATH	*	siroheme biosynthesis	*	*
SA	Saccharomyces cerevisiae	-999	*	*
SA	Bacillus megaterium	0.0034	*	*pH 8, cobaltochelation of precorrin-2
SA	Arabidopsis thaliana	0.0054	*	*isolated recombinant enzyme, with ferrous iron as substrate
SA	Salmonella enterica	0.0138	*	*S128D mutant CysG, cobalt chelation of sirohydrochlorin
SA	Saccharomyces cerevisiae	0.0311	*	*wild-type Met8p
SA	Arabidopsis thaliana	0.0485	*	*isolated recombinant enzyme, with cobalt as substrate
SA	Salmonella enterica	0.0656	*	*wild-type CysG, cobalt chelation of sirohydrochlorin
SA	Salmonella enterica	0.243	*	*S128A mutant CysG, cobalt chelation of sirohydrochlorin
SA	Bacillus megaterium	0.337	*	*pH 8, cobaltochelation of sirohydrochlorin
SA	Arabidopsis thaliana	33.25	*	*mutant enzyme C199A, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
SA	Arabidopsis thaliana	36.08	*	*mutant enzyme C213A, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
SA	Arabidopsis thaliana	38.5	*	*wild type enzyme, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
SA	Arabidopsis thaliana	43	*	*mutant enzyme C219A, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
SA	Arabidopsis thaliana	44.67	*	*mutant enzyme C135A, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
SA	Arabidopsis thaliana	55.17	*	*mutant enzyme C210A, in 20 mM Tris/HCl (pH 8.0) and 10 mM NaCl, at 23&deg;C
