KCAT	Escherichia coli	15	cis-3-decenoyl-N-acetylcysteamine	*pH 9.0, 30&deg;C
KM	Escherichia coli	0.5	cis-beta,gamma-Decenoyl-N-acetylcysteamine	*pH 7.0
KM	Escherichia coli	-999	more	*Km-value gradually decreases with decreasing pH-value
MW	Escherichia coli	18000	*	*2 * 18000, SDS-PAGE
MW	Escherichia coli	18800	*	*x * 18800, calculated
MW	Escherichia coli	27500	*	*sucrose density sedimentation
MW	Escherichia coli	28000	*	*gel filtration
MW	Streptococcus pneumoniae	31000	*	*4 * 31000, SDS-PAGE
MW	Escherichia coli	36000	*	*gel filtration
MW	Streptococcus pneumoniae	129000	*	*gel filtration
PATH	*	(5Z)-dodecenoate biosynthesis I	*	*
PATH	*	(5Z)-dodecenoate biosynthesis II	*	*
PATH	*	Fatty acid biosynthesis	*	*
PATH	*	lipid metabolism	*	*
PATH	*	mycolate biosynthesis	*	*
PATH	*	oleate biosynthesis IV (anaerobic)	*	*
SA	Streptococcus pneumoniae	-999	*	*direct assay for enzyme activity based on substrate analogues
SA	Streptococcus pneumoniae	0.000087	*	*pH 7.0
