KM	Bos taurus	0.05	vinylacetyl-CoA	*beta-methylvinylacetyl-CoA
MW	Clostridium aminobutyricum	56000	*	*4 * 56000, bifunctional enzyme possessing 4-hydroxybutyryl-CoA dehydratase and vinylacetyl DELTA-isomerase activity, SDS-PAGE
MW	Clostridium kluyveri	59000	*	*4 * 59000, bifunctional enzyme possessing 4-hydroxybutyryl-CoA dehydratase and vinylacetyl DELTA-isomerase activity, SDS-PAGE
MW	Clostridium aminobutyricum	232000	*	*bifunctional enzyme possessing 4-hydroxybutyryl-CoA dehydratase and vinylacetyl DELTA-isomerase activity, gel filtration
MW	Clostridium kluyveri	237000	*	*bifunctional enzyme possessing 4-hydroxybutyryl-CoA dehydratase and vinylacetyl DELTA-isomerase activity, gel filtration
MW	Pseudomonas fragi	240000	*	*fatty acid oxidation complex consisting of EC 4.2.1.17, EC 1.1.1.35, EC 2.3.1.16, EC 5.1.2.3, EC 5.3.3.3, gel filtration
PATH	*	Butanoate metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Escherichia coli	2.6	*	*strain K-12YMel, substrate cis-3-octenoyl-CoA
SA	Escherichia coli	7.5	*	*strain fad B64, substrate cis-3-octenoyl-CoA
SA	Pseudomonas fragi	9.8	*	*substrate cis-3-octenoyl-CoA
SA	Bos taurus	32	*	*substrate beta-vinylacetyl-CoA
